_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
11,2741,746,MUNICIPAL PARK,Park,Playground,25 ANSELL AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2741/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5423204527078, 43.5931219966708]]}"
12,2387,1808,INGLEWOOD PARKETTE,Park,None,135 ST. CLAIR AVE E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2387/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3875836667173, 43.6891458587266]]}"
13,2492,1426,MOURNING DOVE PARK,Park,None,98 MOURNING DOVE CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2492/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2248314680634, 43.8159575973189]]}"
14,240,911,TORONTO METROPOLITAN UNIVERSITY SQUARE,Park,Washroom,25 GOULD ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/240/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3796807057292, 43.6574752237641]]}"
15,2731,629,LILLIAN H. SMITH PARK,Park,None,180 HURON ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2731/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3982729658787, 43.6576979804625]]}"
16,1497,49384,NORTH YORK ROSE GARDEN,Park,None,4 PARK HOME AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1497/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4133949691214, 43.7695008765449]]}"
17,334,626,LESSARD PARK,Park,"Ball Diamond, Outdoor Ping Pong/Table Tennis, Playground, Washroom",52 LESSARD AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/334/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4899828916472, 43.6538959684212]]}"
18,2064,1495,SAND BEACH ROAD PARKETTE,Park,None,2 SAND BEACH RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2064/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4969198505271, 43.6014254930978]]}"
19,924,838,PRINCE OF WALES PARK,Park,"Playground, Tennis Court, Washroom",1 THIRD ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/924/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4987828561015, 43.5988411334612]]}"
20,2744,31982,TORONTO ISLANDS - ALGONQUIN ISLAND PARK,Park,None,9 QUEENS QUAY W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2744/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3604221455835, 43.6270342718243]]}"
21,853,719,MILLWOOD PARK,Park,"Ball Diamond, Pickleball Court, Playground, Tennis Court, Washroom",4370 BLOOR ST W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/853/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5784370133919, 43.6317644571902]]}"
22,87,297,DUFFERIN GROVE PARK,Park,"Basketball Court, Firepit, Outdoor Ping Pong/Table Tennis, Picnic Site, Playground, Skateboarding, Sports Field, Washroom",875 DUFFERIN ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/87/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4324881937625, 43.6562981599803]]}"
23,2197,564,JULIUS DEUTSCH PARK,Park,"Outdoor Fitness Equipment, Playground",40 CECIL ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2197/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3971283108923, 43.6567057544753]]}"
24,2172,128,BRIGHT STREET PLAYGROUND,Park,Playground,50 BRIGHT ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2172/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3597205432931, 43.6562031570915]]}"
25,190,191,CHELSEA AVENUE PLAYGROUND,Park,Playground,103 CHELSEA AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/190/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4557474611854, 43.6573752811392]]}"
26,864,873,RICHVIEW PARK,Park,"Ball Diamond, Playground, Sports Field",555 MARTIN GROVE RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/864/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5615651442059, 43.6771675484394]]}"
27,1029,594,LABURNHAM PARK,Park,"Pickleball Court, Playground, Tennis Court",60 LABURNHAM AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1029/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5280276819765, 43.6001318055955]]}"
28,152,732,MONTCLAIR AVENUE PARKETTE,Park,None,48 MONTCLAIR AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/152/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4122658105947, 43.6879159266925]]}"
29,606,92,BERT ROBINSON PARK,Park,"Basketball Court, Playground, Sports Field",400 CALEDONIA RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/606/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4613375630626, 43.6878430796668]]}"
30,2324,1115,WESTWOOD PARK,Park,Playground,994 CARLAW AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2324/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3523828916077, 43.6866855150126]]}"
31,427,58,BALMY BEACH PARK,Park,"Beach, Dog Off-Leash Area, Outdoor Fitness Equipment, Outdoor Ping Pong/Table Tennis, Playground, Washroom",1 BEECH AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/427/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2873606010502, 43.6696108401094]]}"
32,2361,458,HANEY PARK,Park,None,10 HANEY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2361/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4953859345353, 43.674115861695]]}"
33,2698,140,BUDD SUGARMAN PARK,Park,None,955 YONGE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2698/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3886443007205, 43.6760041117327]]}"
34,124,1298,FAIRFORD AVENUE PARKETTE,Park,None,68 FAIRFORD AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/124/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3206242144822, 43.6752506057886]]}"
35,2261,1005,SUGAR BEACH PARK,Park,None,11 DOCKSIDE DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2261/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3674857945044, 43.6432584285317]]}"
36,261,1566,WALLER AVENUE RAVINE LANDS,Park,None,103 MORNINGSIDE AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/261/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4797321955619, 43.6441952634682]]}"
37,2450,322,PAUL MARTEL PARK,Park,None,10 MADISON AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2450/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4032532389092, 43.6675506714251]]}"
38,2825,46322,JUNE CALLWOOD PARK,Park,Playground,636 FLEET ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2825/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4039705836451, 43.6366157961616]]}"
39,629,170,CEDARVALE PARK,Park,"Ball Diamond, Cricket Pitch Field, Dog Off-Leash Area, Pickleball Court, Playground, Sports Field, Tennis Court",443 ARLINGTON AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/629/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4293463942146, 43.6920429918136]]}"
40,2539,1457,PAUL E. GARFINKEL PARK,Park,None,1071 QUEEN ST W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2539/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.421420620886, 43.643394656922]]}"
41,1498,1435,NORMAN JEWISON PARK,Park,None,13 ISABELLA ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1498/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3845895342306, 43.6672432750661]]}"
42,2036,703,MCGREGOR PARK,Park,"Ball Diamond, Basketball Court, Pickleball Court, Playground, Tennis Court",2231 LAWRENCE AVE E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2036/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2805594573923, 43.7473020128729]]}"
43,490,201,ELIE WIESEL PARK,Park,"Ball Diamond, Outdoor Dry Pad, Pickleball Court, Playground, Tennis Court, Washroom",30 PALM DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/490/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4380929807479, 43.7457158547699]]}"
44,278,1572,WEMBLEY PARKETTE,Park,None,9 OLD PARK RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/278/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4313423242988, 43.7008442094455]]}"
45,979,856,RAVENSCREST PARK,Park,None,305 MARTIN GROVE RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/979/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5531220659513, 43.6587742647615]]}"
46,1508,512,HUMBERLINE PARK,Park,"Basketball Court, Playground, Washroom",32 HUMBERLINE DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1508/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.6153240310977, 43.7309671381707]]}"
47,2700,1319,GEORGE MILBRANDT PARKETTE,Park,None,3101 YONGE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2700/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4019279517528, 43.725366902227]]}"
48,2466,695,MCCLEARY PLAYGROUND,Park,Playground,80 MC GEE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2466/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3454242184311, 43.6592530180841]]}"
49,2819,45802,THE RAIL GARDEN,Park,None,450 WOODFIELD RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2819/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3260320017265, 43.6760306288456]]}"
50,3662,57462,CLARA WILL PARK,Park,Playground,1 QUEEN MAGDALENE PL,None,https://www.toronto.ca/data/parks/prd/facilities/complex/3662/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3588899051911, 43.7988952960929]]}"
51,2067,961,SKEENS LANE PARKETTE,Park,Playground,8 TWENTY NINTH ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2067/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5288874733864, 43.5963029355099]]}"
52,1467,558,JOSEPH BURR TYRRELL PARK,Park,Playground,10 DALTON RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1467/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4072656929784, 43.6666174890659]]}"
53,1032,78,BELL MANOR PARK,Park,Playground,1 BAYSIDE LANE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1032/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4923733779417, 43.6374793846013]]}"
54,859,818,PINE POINT PARK,Park,"Pickleball Court, Playground, Sports Field, Tennis Court",4 CONAN RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/859/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5441307197754, 43.716158575835]]}"
55,155,550,JIMMIE SIMPSON PARK,Park,"Ball Diamond, Basketball Court, Outdoor Dry Pad, Pickleball Court, Picnic Site, Playground, Sports Field, Tennis Court",870 QUEEN ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/155/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3447424177788, 43.6611735030376]]}"
56,20,23,ALEXANDER STREET PARKETTE,Park,None,16 ALEXANDER ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/20/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3828043808028, 43.663404864057]]}"
57,1,49,ASHBRIDGES BAY PARK,Park,"Disc Golf, Firepit, Outdoor Fitness Equipment, Picnic Site, Washroom",1561 LAKE SHORE BLVD E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3095288671624, 43.6586660547529]]}"
58,182,1425,MOUNT PLEASANT PARKETTE,Park,None,441 MOUNT PLEASANT RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/182/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3866239887926, 43.69977457121]]}"
59,2233,231,CORTLEIGH PARKETTE,Park,Playground,375 CORTLEIGH BLVD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2233/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4258114130893, 43.7095535009781]]}"
60,1499,736,MOREAU TRAIL PARK,Park,Playground,35 HERRON AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1499/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2836259102601, 43.7074771710283]]}"
61,1500,1868,MCCOWAN DISTRICT PARK,Park,"Pickleball Court, Playground, Sports Field, Washroom",150 MCCOWAN RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1500/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2370934326324, 43.7336751987932]]}"
62,128,637,LITTLE NORWAY PARK,Park,"Ball Diamond, Outdoor Fitness Equipment, Playground, Washroom",659 QUEENS QUAY W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/128/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3984131999893, 43.6344839206963]]}"
63,560,121,BOTANY HILL PARK,Park,"Dog Off-Leash Area, Playground, Tennis Court",277 ORTON PARK RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/560/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2115040419136, 43.7781008007468]]}"
64,798,172,CENTENNIAL PARK - ETOBICOKE,Park,"Ball Diamond, Cricket Pitch Field, Disc Golf, Outdoor Fitness Equipment, Outdoor Track, Picnic Site, Playground, Sports Field, Washroom",256 CENTENNIAL PARK RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5929285613507, 43.6516875893792]]}"
65,224,770,NORTHUMBERLAND PLAYGROUND,Park,Playground,770 OSSINGTON AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/224/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4263575538702, 43.6627853179065]]}"
66,2642,272,DENNIS FLYNN PARK,Park,"Basketball Court, Playground",370 THE WEST MALL,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2642/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5660873316129, 43.6407105472389]]}"
67,2726,26,LAMPORT STADIUM PARK,Park,"Outdoor Ping Pong/Table Tennis, Playground",1155 KING ST W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2726/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4231847608823, 43.6387692569017]]}"
68,187,742,MOUNT ROYAL PARKETTE,Park,Playground,49 MOUNT ROYAL AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/187/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.432507600036, 43.6765809260083]]}"
69,2397,269,DELO PARK,Park,None,26 JOYCE PKWY,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2397/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4639011184249, 43.7098606100516]]}"
70,115,787,ORCHARD PARK,Park,"Firepit, Outdoor Ping Pong/Table Tennis, Picnic Site, Playground",1987 DUNDAS ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/115/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3141379322677, 43.6687247965392]]}"
71,440,403,GEORGE HISLOP PARK,Park,None,20 ISABELLA ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/440/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.384937527232, 43.6682760157536]]}"
72,2263,299,DUNCAN CREEK PARK,Park,Playground,110 CLIFFWOOD RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2263/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3636109459492, 43.8053611584828]]}"
73,281,1459,PERCY PARK,Park,None,12 PERCY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/281/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3576390382867, 43.6550949298212]]}"
74,963,373,FLAGSTAFF PARK,Park,"Basketball Court, Pickleball Court, Playground, Sports Field, Tennis Court",42 MERCURY RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/963/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5906395390043, 43.7211741636735]]}"
75,971,446,GREYSTONE PARK,Park,"Basketball Court, Playground",845 DANFORTH RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/971/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.252170846204, 43.7261242485564]]}"
76,2110,1177,BALCARRA PARK,Park,None,1 BALCARRA AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2110/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2272524713856, 43.7257596440884]]}"
77,161,164,CAWTHRA PLAYGROUND,Park,"Outdoor Ping Pong/Table Tennis, Playground",355 ALBANY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/161/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4139644831791, 43.6760122280618]]}"
78,925,1954,SEVERN CREEK PARK,Park,None,8 R CLUNY DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/925/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3864744427698, 43.6755819577691]]}"
79,174,738,MORSE STREET PLAYGROUND,Park,"Outdoor Ping Pong/Table Tennis, Playground, Washroom",76 MORSE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/174/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3400197721726, 43.6568417095401]]}"
80,2750,1976,STANLEY PARK SOUTH - TORONTO,Park,"Ball Diamond, Dog Off-Leash Area, Outdoor Ping Pong/Table Tennis, Pickleball Court, Tennis Court, Washroom",700 WELLINGTON ST W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2750/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4089348232241, 43.6419107696079]]}"
81,118,1390,LARRATT PARKETTE,Park,None,221 A FOREST HILL RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/118/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4102751630698, 43.69991215856]]}"
82,2612,1501,SCARLETT - ST. CLAIR PARKETTE,Park,None,2750 ST CLAIR AVE W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2612/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4990048382322, 43.6663820078308]]}"
83,1012,511,HUMBER VALLEY PARK,Park,"Outdoor Fitness Equipment, Pickleball Court, Playground, Tennis Court, Washroom",54 ANGLESEY BLVD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1012/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5251424090758, 43.6649968488562]]}"
84,332,916,SALLY BIRD PARK,Park,Outdoor Fitness Equipment,194 BRUNSWICK AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/332/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4066365225086, 43.6628731854244]]}"
85,1028,256,DANFORTH GARDENS PARK,Park,"Playground, Sports Field",498 BIRCHMOUNT RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1028/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2697912914491, 43.7087227896398]]}"
86,2580,1494,SADLER PARKETTE,Park,None,5 SADLER DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2580/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2679488782751, 43.7089259762824]]}"
87,1979,871,RICARDO PARKETTE,Park,Playground,180 MAPLE LEAF DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1979/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4972258366315, 43.7115147954527]]}"
88,2251,1547,TRUDELLE PARK,Park,Playground,36 TRUDELLE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2251/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2442227017897, 43.7412581688848]]}"
89,259,1081,WADSWORTH PARK,Park,"Basketball Court, Firepit, Playground, Sports Field",120 CONNOLLY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/259/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4579824179909, 43.6723317760734]]}"
90,3697,58963,CLOVER HILL PARK,Park,None,1020 BAY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/3697/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3882633160309, 43.6660715578155]]}"
91,3823,80285,BROADWAY AVENUE PARKETTE,Park,None,176 BROADWAY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/3823/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3906387359476, 43.7114556184741]]}"
92,836,1084,WALTER SAUNDERS MEMORIAL PARK,Park,"Basketball Court, Outdoor Fitness Equipment, Playground",440 HOPEWELL AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/836/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44777760595, 43.6997395310475]]}"
93,733,833,PRAIRIE DRIVE PARK,Park,"Pickleball Court, Picnic Site, Playground, Tennis Court, Washroom",101 PHARMACY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/733/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2841183857221, 43.6971138527239]]}"
94,9,329,EGLINTON FLATS,Park,"Pickleball Court, Playground, Sports Field, Tennis Court, Washroom",101 EMMETT AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/9/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4993864277001, 43.6849623759822]]}"
95,373,424,GLENN GOULD PARK,Park,Playground,480 AVENUE RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/373/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4021474550583, 43.6868023529286]]}"
96,874,1114,WESTWAY PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",175 THE WESTWAY,None,https://www.toronto.ca/data/parks/prd/facilities/complex/874/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5415217546097, 43.6877692742751]]}"
97,2303,676,MARBLE HILL PARKETTE,Park,Playground,22 A ENNERDALE RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2303/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4506489377488, 43.6874906323607]]}"
98,2258,267,DELL PARK,Park,Playground,50 DELL PARK AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2258/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4339120364854, 43.7170967490405]]}"
99,441,1088,WARDEN WOODS PARK,Park,Dog Off-Leash Area,125 PHARMACY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/441/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2823046643721, 43.7041333906773]]}"
100,1104,983,ST. CLEMENTS - YONGE PARKETTE,Park,None,14 ST CLEMENTS AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1104/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4001776896878, 43.7131420472105]]}"
101,2480,1368,KELSONIA PARKETTE,Park,None,167 MIDLAND AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2480/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2474941851779, 43.7104634587718]]}"
102,176,862,REDPATH AVENUE PARKETTE,Park,Playground,130 ERSKINE AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/176/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3943961475513, 43.7123665329719]]}"
103,276,1045,TOPHAM PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",181 WESTVIEW BLVD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/276/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3065172658871, 43.7100225254369]]}"
104,2340,1327,GLEN PARK PARKETTE,Park,None,596 GLEN PARK AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2340/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4647404151999, 43.7056225247771]]}"
105,2054,509,HUMBER BAY SHORES PARK,Park,None,15 MARINE PARADE DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2054/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4750225996406, 43.6278222001981]]}"
