price,address,mls,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Ensuite Laundry,Air Conditioning,Fireplace,Laundry,Pets,Stories,Basement,Elevator,Heating,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Lockers,Maintenance,Taxes,Tax Year,Central A/C Included,Common Elements Included,Water Included,Amenity,Feature,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Building Insurance Included,Cable Included,Heating Included,Hydro Included,Parking Included,Virtual Tour,Parking Space,Parking Description,Locker Quantity,Locker Level,Locker Number,Bedrooms Plus,Rooms Plus,Water supply,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Pool,Sewer,Parcel Number,Zoning,Exterior Features,Parking Charges,Energy Certificate,Green PIS,Kitchens Plus,Electricity,Gas,Cable,Telephone,Retirement,UFFI,Lot Irregularities,Handicap Equipped,Assesment Year,Parcel of Tied Land,Acres,Structure,Waterfront,Open House Date,Open House Start,Open House Finished,Water Supply,Assessment,Waterfront Features,Shore Allow,Shoreline Exposure,Transaction Type,Property Type,Attachment,Ownership,MLS®#,Bedrooms Above Ground,Bedrooms Below Ground,Half Bathrooms,Flooring,Basement Status,Heating Fuel,Cooling,Total Stories,Parking Space (A),Parking Spaces (Total),Water,Location Description,Community Name,Size,Size Irregular,Depth,Size (Frontage),Video,Additional Monthly Fee,Open House From,Office Area Units,Total Area,Total Area metric,Taxes Type,Utilities,Free Standing,Lot Code,List Price Type,Office Area,Water Body Name,Water Source,Appliances,Basement Features,Foundation,Lot Features,Certificate Level,Farm/Agriculture,Retail Area,Retail Area metric,Sprinklers,Business Type,Rail,Chattels Included,Expense Type,Financial Statement,Franchise,Area Influence,Ceil Height (ft),Survey,Building Area Total,Alternate MLSN umber,Building Area Source,RATIO Current Price By Above Grade Finished Area,Area Major,Region,Property Sub Type,Area Minor,Last Modified,Current Price,Survey Type,Common Interest,Postal Code,Full Bathrooms,Inclusions,Above Grade Finished Area Units,Above Grade Finished Area,Above Grade Finished Area Source,Kitchen Appliances,Window Features,Total Bathrooms,Main Level Bathrooms,Interior Features,Number Of 3 Piece Bathrooms,Baths On Level Basement Count,Roof,Construction,Room Kitchen Level,Building Area Units,Kitchens Above Grade,INumber Of 2 Piece Bathrooms,Number Of Rooms Above Grade,Baths On Level Second Count,Baths Total Rooms,Number Of 4 Piece Bathrooms,Beds On Level Second Count,Kitchens Total,Beds Above Grade,Number Of Rooms Below Grade,Driveway Parking,Open Parking Spaces,Covered Spaces,Attached Garage,Open Parking,Association Fee Frequency,Directions,FarmLandAreaUnits,Frontage Type �,Lot Size Dimensions,Acres Range,Orig_lp_cd,Doing Business As,Seats,Days Open,Number of Employees,Llbo,Outside Storage,Percent Building,Soil Test,Com_cn_fee,Ceiling Height,Crane,Industrial Area,Industrial Area Units,Central Vac,lat,long
"$2,199,000",43 Battersea Crescent,MLS® W10417425,"['Family', 'Living', 'Office', 'Kitchen', 'Dining', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Br', '2nd Br', '3rd Br']","['3.48 x 8.12', '4.09 x 3.30', '4.09 x 3.30', '6.43 x 2.87', '6.55 x 3.48', '4.72 x 6.50', '3.86 x 3.68', '3.35 x 3.71', '3.50 x 3.61', '4.29 x 2.95', '4.22 x 3.40', '2.90 x 3.38']","['Vaulted Ceiling, Panelled, Hardwood Floor', 'Wainscoting, Double Doors, Large Window', 'Hardwood Floor, Double Doors, Wainscoting', 'B/I Microwave, Stone Floor, Breakfast Bar', 'Combined W/Kitchen, Stone Floor, Open Concept', 'W/I Closet, 7 Pc Ensuite, W/O To Balcony', 'B/I Closet, Hardwood Floor, 3 Pc Ensuite', 'B/I Closet, Hardwood Floor, Large Window', 'B/I Closet, Hardwood Floor, Large Window', 'Vinyl Floor, B/I Closet, Window', 'Vinyl Floor, B/I Closet, Window', 'Vinyl Floor, B/I Closet, Window']",Sale,Detached,2-Storey,,,Toronto,Maple Leaf,4.0,6.0,1.0,10.0,Y,,,,Central Air,N,,,,Sep Entrance,N,Forced Air,Brick,Detached,,,6.0,8.0,,,7603.52,2024.0,,,,,,Lawrence & Keele,Toronto W04,,,,,,,,,https://my.matterport.com/show/?m=aABRM79UmbP,,,,,,3.0,5.0,Municipal,Private,2.0,"LT 91 PL 4044 NORTH YORK; TORONTO (N YORK) ,  CITY OF TORONTO",S,50.06,135.14,Feet,,Sewers,102760211.0,,Stone,,,,1.0,Y,Y,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7081652,-79.4837436
"$1,590,000",44 Seneca Hill Drive,MLS® C10417419,"['Living', 'Dining', 'Kitchen', 'Family', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', 'Office', 'Den', 'Laundry']","['5.02 x 3.70', '3.48 x 3.71', '7.42 x 2.69', '4.90 x 3.59', '5.08 x 4.13', '3.26 x 3.25', '4.23 x 3.73', '4.32 x 3.13', '7.26 x 5.77', '3.58 x 2.50', '3.76 x 2.95', '3.23 x 3.12']","['Open Concept, Large Window, Hardwood Floor', 'Formal Rm, Bay Window, Wainscoting', 'Breakfast Area, W/O To Patio, Tile Floor', 'Fireplace, W/O To Patio, French Doors', '4 Pc Ensuite, Double Closet, Window', 'Window, Closet', 'Window, Closet', 'Window, Closet', 'Open Concept, Window, Pot Lights', 'Combined W/Rec, Open Concept', 'W/I Closet, Open Concept', 'Laundry Sink, Window']",Sale,Detached,2-Storey,2000-2500,,Toronto,Don Valley Village,4.0,3.0,1.0,9.0,Y,,,,Central Air,Y,,,,Finished,,Forced Air,Brick,Built-In,,,4.0,6.0,,,7188.66,2024.0,,,,,,Finch/Leslie,Toronto C15,,,,,,,,,https://tours.myvirtualhome.ca/2289522?idx=1,,,,,,1.0,3.0,Municipal,Private,2.0,PLAN M1370 LOT 112,W,46.67,140.69,Feet,,Sewers,100550112.0,,,,,,,,,,,,,,,,,,,,00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7876286,-79.3637638
"$2,799,900",603 Royal York Road,MLS® W10417364,"['Living', 'Dining', 'Kitchen', 'Family', 'Study', 'Foyer', 'Br', '2nd Br', '3rd Br', '4th Br', 'Media/Ent', 'Rec']","['3.30 x 8.20', '3.30 x 8.20', '3.30 x 7.30', '5.44 x 7.30', '1.00 x 1.07', '1.84 x 2.50', '3.53 x 4.61', '2.53 x 3.53', '2.78 x 3.76', '3.56 x 3.65', '3.56 x 4.85', '3.56 x 5.28']","['Combined W/Dining, Coffered Ceiling, Hardwood Floor', 'Combined W/Living, Coffered Ceiling, Hardwood Floor', 'Heated Floor, Quartz Counter, B/I Appliances', 'Combined W/Kitchen, Coffered Ceiling, Fireplace', 'B/I Desk, Quartz Counter, Combined W/Family', 'Heated Floor, Coffered Ceiling, Tile Floor', 'W/I Closet, 4 Pc Ensuite, W/O To Balcony', 'Closet Organizers, Hardwood Floor, Window', 'Closet Organizers, Hardwood Floor, Bay Window', 'Closet Organizers, Hardwood Floor, Window', 'Hardwood Floor', 'Hardwood Floor, W/O To Balcony']",Sale,Detached,2 1/2 Storey,3500-5000,New,Toronto,Stonegate-Queensway,4.0,5.0,1.0,12.0,Y,,,,Central Air,Y,,,,Sep Entrance,,Forced Air,Brick,Detached,,,2.0,3.0,,,7659.0,2023.0,,,,,Fenced Yard,Royal York/ North of Queensway,Toronto W07,,,,,,,,,https://www.myvisuallistings.com/cvtnb/340949,,,,,,1.0,5.0,Municipal,Available,1.0,"PCL 20-2,  SEC M141 ; PT LT 20,  PL M141,  PART 1 & 4",E,25.03,126.17,Feet,,Sewers,,,Stone,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6276216,-79.5028165
"$1,498,000",204 Greenfield Avenue,MLS® C10417127,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Rec', '3rd Br']","['3.70 x 6.25', '3.70 x 6.25', '2.75 x 4.58', '2.00 x 4.65', '2.75 x 5.60', '3.00 x 5.10', '2.60 x 5.88']","['Hardwood Floor, Bow Window, Combined W/Dining', 'Hardwood Floor, Bow Window, Combined W/Living', 'Linoleum, Window, Eat-In Kitchen', 'Hardwood Floor, Window, O/Looks Backyard', 'Parquet Floor, W/O To Deck, Closet', 'Broadloom, Panelled, Above Grade Window', 'Broadloom, Panelled, Above Grade Window']",Sale,Detached,Bungalow,,51-99,Toronto,Willowdale East,2.0,1.0,1.0,4.0,N,,,,Central Air,N,,,,Sep Entrance,,Forced Air,Alum Siding,,,,2.0,2.0,,,9034.1,2024.0,,,,,Hospital,"4 Block's East Of Yonge,  3 Block's North Of Sheppard And 1 Block West Of Willowdale.",Toronto C14,,,,,,,,,,,,,,,1.0,3.0,Municipal,Private,0.0,"Part Lots 179 & 180,  Plan M372",N,37.5,120.0,Feet,,Sewers,100750076.0,Single-Family Detached,Wood,,N,N,,,,,,N,,Prime Lot For Your Luxury Custom Home.,N,,N,< .50,Garden Shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0174352,-87.91354229999999
"$1,299,999",123 Ernest Avenue,MLS® C10417105,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', 'Br', 'Br', 'Family', 'Family', 'Br']","['3.54 x 4.61', '3.54 x 5.33', '3.11 x 3.99', '3.60 x 4.63', '3.04 x 4.66', '2.78 x 3.39', '5.15 x 5.30', '5.15 x 5.30', '3.32 x 3.99']","['Hardwood Floor, Large Window', 'Hardwood Floor, W/O To Deck', 'Modern Kitchen, Quartz Counter, Pot Lights', 'Hardwood Floor', 'Hardwood Floor', 'Hardwood Floor', 'Laminate', 'Laminate', 'Laminate']",Sale,Detached,Bungalow-Raised,,,Toronto,Pleasant View,3.0,3.0,1.0,6.0,N,,,,Central Air,Y,,,,Sep Entrance,,Forced Air,Brick,Attached,,,2.0,4.0,,,6352.0,2024.0,,,,,School,Finch/Victoria Park,Toronto C15,,,,,,,,,,,,,,,1.0,2.0,Municipal,Private,2.0,"PT LT 30 PL 3264 North York AS IN TB995024; TORONTO (IN YORK),  CITY OF TORONTO",S,50.16,135.0,Feet,,Sewers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6592525,-79.4512122
$1,6415 Kingston Road,MLS® E10416978,[],[],[],Sale,Detached,Bungalow,,,Toronto,Centennial Scarborough,3.0,3.0,1.0,7.0,N,,,,Central Air,Y,,,,Finished,,Forced Air,Brick,Attached,,,8.0,10.0,,,5522.03,2024.0,,,,,River/Stream,Kingston Rd,Toronto E10,,,,,,,,,,,,,,,1.0,3.0,Municipal,Private,2.0,"PT LT 25,  PL 3499 ,  AS IN TB407677 ; SCARBOROUGH ,  CITY OF TORONTO",S,110.0,172.62,Feet,,Sewers,62280011.0,RD*715,Stone,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7902376,-79.159165
$1,6405 Kingston Road,MLS® E10416976,[],[],[],Sale,Detached,Bungalow,1500-2000,,Toronto,Centennial Scarborough,3.0,3.0,1.0,8.0,Y,,,,Central Air,Y,,,,Fin W/O,,Forced Air,Stone,Attached,,,8.0,10.0,,,6981.22,2024.0,,,,,River/Stream,Kingston Rd,Toronto E10,,,,,,,,,,,,,,,1.0,1.0,Municipal,Pvt Double,2.0,"PT LTS 25 & 26,  PL 3499 DESIGNATED AS PTS 2,  3 & 4,  PL 66R21235 ; S/T TB155780 ; SCARBOROUGH,  CITY OF TORONTO",S,221.42,0.0,Feet,,Sewers,62280182.0,RD*715,Stucco/Plaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7899958,-79.1594911
"$2,788,000",39 Millburn Drive,MLS® W10416802,"['Foyer', 'Office', 'Family', 'Dining', 'Kitchen', 'Laundry', 'Prim Bdrm', 'Br', 'Br', 'Br', 'Rec', 'Br']","['3.05 x 3.20', '3.45 x 3.73', '4.15 x 5.58', '3.05 x 5.18', '3.65 x 4.57', '1.95 x 3.45', '3.96 x 4.26', '3.35 x 5.65', '3.42 x 3.84', '3.84 x 3.96', '5.80 x 6.55', '4.57 x 5.48']","['Hardwood Floor', 'Hardwood Floor, B/I Bookcase', 'Hardwood Floor, B/I Bookcase, Gas Fireplace', 'W/O To Patio, O/Looks Backyard', 'Centre Island, Pantry, Combined W/Dining', 'W/O To Garage', 'Hardwood Floor, 5 Pc Ensuite, W/I Closet', 'Hardwood Floor, 4 Pc Ensuite, Double Closet', 'Hardwood Floor, Double Closet', 'Hardwood Floor, 3 Pc Ensuite, Double Closet', 'Laminate, Open Concept, Combined wi/Game', 'Laminate']",Sale,Detached,2-Storey,2500-3000,,Toronto,Eringate-Centennial-West Deane,4.0,5.0,1.0,8.0,Y,,,,Central Air,Y,,,,Finished,,Forced Air,Stone,Attached,,,2.0,4.0,,,9613.49,2024.0,,,,,Grnbelt/Conserv,Martin Grove Rd./ Rathburn Rd.,Toronto W08,,,,,,,,,http://tours.agenttours.ca/vtnb/352158,,,,,,1.0,2.0,Municipal,Pvt Double,2.0,"Lt 18,  PL 5057; S/T EB183177",S,50.0,120.0,Feet,,Sewers,,RD,Stucco/Plaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.66335489999999,-79.56228349999999
"$1,888,000",43 Tobermory Drive,MLS® W10416738,"['Living', 'Br', 'Br', 'Br', 'Kitchen', 'Br', 'Br', 'Br', 'Bathroom', 'Br', 'Br', 'Kitchen']","['3.51 x 4.95', '9.97 x 3.78', '8.92 x 9.87', '2.77 x 3.10', '9.74 x 5.00', '3.23 x 3.27', '3.04 x 3.29', '2.69 x 2.88', '2.71 x 3.75', '2.85 x 3.40', '2.62 x 3.03', '2.80 x 3.40']","['Hardwood Floor, Closet', 'Hardwood Floor, Closet', 'Laminate, W/O To Deck', 'Laminate', 'Ceramic Floor, Eat-In Kitchen', 'Hardwood Floor, His/Hers Closets', 'Hardwood Floor, Closet', 'Hardwood Floor, Closet', 'Tile Floor, 3 Pc Bath', 'Laminate', 'Tile Floor, Closet', 'Laminate']",Sale,Detached,2-Storey,,,Toronto,Black Creek,8.0,5.0,2.0,12.0,N,,,,Central Air,N,,,,Sep Entrance,,Forced Air,Brick,,,,8.0,6.0,,,4613.61,2024.0,,,,,,Jane & Finch,Toronto W05,,,,,,,,,,,,,,,2.0,4.0,Municipal,Private,0.0,"Plan M1004,  Lot 195",S,149.08,105.32,Feet,,Sewers,102450026.0,,,,,,1.0,,,,,,,Irregular lot: Site Area: 7869.2 Sq. Ft,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.762805,-79.51049619999999
"$1,399,000",2 Newport Avenue,MLS® E10416564,"['Living', 'Kitchen', 'Family', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', '5th Br', 'Br']","['3.48 x 7.62', '3.48 x 5.48', '3.60 x 5.48', '3.60 x 4.57', '3.20 x 3.35', '2.74 x 5.79', '2.59 x 4.26', '3.48 x 3.60', '2.59 x 3.48']","['Vinyl Floor, Bay Window, Combined W/Dining', 'Tile Floor, Granite Counter, B/I Dishwasher', 'Vinyl Floor, Fireplace', 'Hardwood Floor, 4 Pc Ensuite, Closet', 'Hardwood Floor, Closet', 'Hardwood Floor, Closet', 'Closet, Hardwood Floor', 'Vinyl Floor', 'Vinyl Floor']",Sale,Detached,2-Storey,,,Toronto,Oakridge,4.0,4.0,1.0,9.0,Y,,,,Central Air,Y,,,,Apartment,N,Forced Air,Brick,Built-In,,,3.0,4.0,,,4828.0,2024.0,,,,,,Pharmacy & Danforth Ave,Toronto E06,,,,,,,,,https://realfeedsolutions.com/vtour/2NewportAve/index_.php,,,,,,2.0,,Municipal,Available,1.0,RP 64R12507 Part 2,S,26.0,110.0,Feet,,Sewers,64590202.0,,,,N,N,1.0,Y,A,A,N,N,No,,N,2024.0,N,,,,00:00.0,1:00 PM,4:00 PM,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.27458379999999,-71.0296991
"$4,199,000",22 Shannon Street,MLS® C10416555,"['Dining', 'Kitchen', 'Family', '2nd Br', '3rd Br', '4th Br', 'Prim Bdrm', '5th Br', 'Kitchen', 'Rec']","['3.53 x 4.52', '3.53 x 5.59', '5.18 x 6.38', '3.61 x 5.18', '3.10 x 5.15', '2.87 x 5.39', '4.85 x 5.23', '3.56 x 4.62', '2.90 x 3.43', '3.53 x 5.99']","['Hardwood Floor, Open Concept, Bay Window', 'Hardwood Floor, B/I Appliances, Centre Island', 'Gas Fireplace, Hardwood Floor, Walk-Out', '3 Pc Ensuite, Hardwood Floor, Closet Organizers', '4 Pc Bath, Hardwood Floor, Closet Organizers', '4 Pc Ensuite, Hardwood Floor, Closet Organizers', 'Electric Fireplace, 5 Pc Ensuite, W/I Closet', 'Hardwood Floor, Closet, 3 Pc Bath', 'Hardwood Floor, Open Concept', 'Electric Fireplace, Hardwood Floor']",Sale,Detached,3-Storey,3500-5000,,Toronto,Trinity-Bellwoods,4.0,5.0,1.0,9.0,Y,,,,Central Air,Y,,,,Finished,N,Forced Air,Alum Siding,Detached,,,0.0,2.0,,,9434.66,2024.0,,,,,Fenced Yard,Shannon Street & Ossington Ave,Toronto C01,,,,,,,,,,,,,,,1.0,3.0,Municipal,,2.0,PT LT 25 PL 382 CITY WEST AS IN CT695497; CITY...,N,25.0,121.0,Feet,,Sewers,212790258.0,Residential,Brick,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6534866,-79.42349589999999
"$2,199,000",1218 Dufferin Street,MLS® W10416533,"['Workshop', 'Kitchen', 'Living', 'Br', 'Kitchen', 'Living', 'Br', 'Kitchen', 'Br', '2nd Br', 'Kitchen', 'Living']","['3.23 x 2.45', '2.38 x 3.36', '2.60 x 2.88', '2.38 x 3.36', '2.91 x 2.36', '4.63 x 3.30', '4.63 x 3.87', '2.96 x 3.41', '3.24 x 3.03', '3.23 x 3.86', '2.24 x 3.18', '4.14 x 2.99']","['2 Pc Bath, Open Concept, Vinyl Floor', 'Closet, Window, Ceramic Back Splash', 'Picture Window, Vaulted Ceiling, Vinyl Floor', ', Window, Vinyl Floor', ', O/Looks Living, Cork Floor', 'Open Concept, Window, Hardwood Floor', 'Closet, Large Window, Hardwood Floor', ', Window, Ceramic Back Splash', ', Window, Vinyl Floor', 'Vaulted Ceiling, Window, Vinyl Floor', 'Side Door, Backsplash, Tile Floor', '3 Pc Bath, Closet, Tile Floor']",Sale,Detached,3-Storey,,,Toronto,Dovercourt-Wallace Emerson-Junction,5.0,6.0,5.0,17.0,N,,,,,N,,,,Finished,,Water,Brick,,,,2.0,2.0,,,7072.05,2023.0,,,,,Public Transit,Dufferin St/Hallam St,Toronto W02,,,,,,,,,https://unbranded.youriguide.com/1218_dufferin_st_toronto_on/,,,,,,,,Municipal,Lane,0.0,"PT LT 7 PL 862 CITY WEST,  PART 1 PLAN 64R15364 CIT",E,22.0,120.0,Feet,,Sewers,213130403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6659084,-79.43816
,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$X,XXX,XXX",8 Bell Royal Court,MLS® W10416499,"['Living', 'Dining', 'Kitchen', 'Family', 'Prim Bdrm', 'Prim Bdrm', 'Br', 'Br', 'Br', 'Rec', 'Office']","['4.00 x 7.65', '3.45 x 3.65', '3.45 x 5.80', '4.60 x 7.50', '5.50 x 6.10', '3.35 x 4.65', '2.25 x 4.35', '3.00 x 4.25', '2.00 x 3.25', '4.35 x 6.00', '3.15 x 4.80']","['Open Concept, Hardwood Floor, Bow Window', 'Open Concept, Hardwood Floor, W/O To Yard', 'Modern Kitchen, Open Concept, Hardwood Floor', 'Hardwood Floor, W/O To Patio', 'Hardwood Floor, Window', 'Hardwood Floor, 3 Pc Bath, W/I Closet', 'Hardwood Floor, Closet, Window', 'Hardwood Floor, Closet, Window', 'Hardwood Floor, Closet, Window', 'Fireplace, Window', 'Window']",Sale,Detached,Sidesplit 4,2500-3000,,Toronto,Edenbridge-Humber Valley,5.0,3.0,1.0,10.0,Y,,,,Central Air,Y,,,,Finished,,Forced Air,Brick,Attached,,,6.0,8.0,,,7468.0,2024.0,,,,,Fenced Yard,Royal York/EDENBRIDGE,Toronto W08,,,,,,,,,https://boldimaging.com/property/5966/unbranded/slideshow,,,,,,,2.0,Municipal,Pvt Double,2.0,"PCL 4-1,  SEC M882; LT 4,  PL M882; S/T B67651 ETO",W,70.0,140.13,Feet,,Sewers,74880049.0,,,,,,,,,,,,,70 x 140.13 x 115.47 x 105.69,,,,,,,00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6731072,-79.52226189999999
"$XXX,XXX",11 Arden Crescent,MLS® E10416494,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', 'Rec', '4th Br', '5th Br', 'Laundry', 'Utility']","['3.33 x 7.10', '3.33 x 7.10', '2.72 x 3.80', '3.05 x 3.90', '3.00 x 3.00', '2.75 x 3.53', '3.91 x 6.15', '3.45 x 4.37', '2.79 x 2.84', '2.62 x 2.77', '1.83 x 3.50']","['Combined W/Br, Picture Window, Hardwood Floor', 'Combined W/Living, Large Window, Hardwood Floor', 'Eat-In Kitchen, Picture Window', 'B/I Closet, Hardwood Floor', 'B/I Closet, Hardwood Floor', 'B/I Closet, Hardwood Floor', 'Fireplace, Above Grade Window', 'Irregular Rm, Above Grade Window', '', 'Above Grade Window', 'Above Grade Window']",Sale,Detached,Bungalow,,,Toronto,Clairlea-Birchmount,3.0,2.0,1.0,6.0,N,,,,Central Air,Y,,,,Sep Entrance,,Forced Air,Brick,Attached,,,4.0,5.0,,,4449.09,2024.0,,,,,,N of St Clair Btwn Warden & Pharmacy,Toronto E04,,,,,,,,,,,,,,,2.0,4.0,Municipal,Private,1.0,Plan 3835 Lot 42,W,40.0,125.0,Feet,,Sewers,64560232.0,,Other,,,,,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53855429999999,0.1311925
"$999,999",23 Kingswell Crescent,MLS® E10416405,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br']","['3.40 x 5.20', '3.00 x 3.80', '2.70 x 4.50', '4.00 x 4.40', '3.20 x 4.40', '4.00 x 4.40']","['Hardwood Floor', 'Hardwood Floor, O/Looks Garden', 'Breakfast Area', '', '', '']",Sale,Detached,1 1/2 Storey,,,Toronto,Clairlea-Birchmount,2.0,3.0,1.0,5.0,N,,,,Central Air,N,,,,Finished,,Forced Air,Brick,Detached,,,3.0,4.0,,,4456.25,2024.0,,,,,,Victoria Park/ Eglinton,Toronto E04,,,,,,,,,,,,,,,1.0,1.0,Municipal,Private,1.0,Plan 4003 Lot 44,E,45.0,147.0,Feet,,Sewers,64530138.0,,,,,,,,,,,,,,,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71933,-79.2961734
