link,strikethrough_price,sold_price,property_type,address,date,lat,long
/on/etobicoke-real-estate/701-2855-bloor-st-w/home/BDO1w3W19Nny8Jg0/,"$519,900","$512,000",Condo Apt,"701 - 2855 Bloor St W , Etobicoke - Stonegate-Queensway",2011-12-06,43.6496577,-79.499827
/on/etobicoke-real-estate/523a-royal-york-rd/home/weQp5yOqaVJ3d0ZE/,"$569,000","$560,000",Semi-Detached,"523A Royal York Rd , Etobicoke - Stonegate-Queensway",2011-12-06,43.62397989999999,-79.501222
/on/etobicoke-real-estate/16-glen-hollow-ave/home/MB5bO3xvKRQykWVP/,"$348,880","$345,000",Detached,"16 Glen Hollow Ave , Etobicoke - West Humber-Clairville",2010-11-25,43.7320875,-79.6050123
/on/etobicoke-real-estate/56-evans-ave/home/NAKv53Dpp0r3MnxB/,"$320,000","$341,000",Detached,"56 Evans Ave , Etobicoke - Mimico",2007-12-04,43.6206744,-79.5029971
/on/etobicoke-real-estate/1002-714-the-west-mall-ctre/home/6VLaGyGGQMvyW1ZD/,"$179,000","$169,000",Condo Apt,"1002 - 714 The West Mall Ctre , Etobicoke - Eringate-Centennial-West Deane",2007-11-30,43.6568866,-79.57077029999999
/on/etobicoke-real-estate/711-21-markbrook-lane/home/BGMnKYq8nx53w1Qr/,"$144,900","$142,000",Condo Apt,"711 - 21 Markbrook Lane , Etobicoke - Mount Olive-Silverstone-Jamestown",2007-11-26,43.7587292,-79.5875627
/on/etobicoke-real-estate/338-renforth-dr/home/VgAaOyLvzbz3GxMb/,"$424,500","$420,000",Detached,"338 Renforth Dr , Etobicoke - Etobicoke West Mall",2007-11-26,43.6425919,-79.5724652
/on/etobicoke-real-estate/41-duntroon-cres/home/6VLaGyGzMw0YW1ZD/,"$279,000","$278,000",Semi-Detached,"41 Duntroon Cres , Etobicoke - West Humber-Clairville",2004-12-30,43.7400706,-79.5976397
/on/etobicoke-real-estate/102-wedgewood-dr/home/dXawjy4JDRm3rR18/,"$409,000","$394,000",Detached,"(Address not available) , Etobicoke - Islington-City Centre West",2003-12-19,43.6309156,-79.5434841
/on/etobicoke-real-estate/45-westroyal-rd/home/b1DBW7RopkQ3qlAp/,"$549,000","$530,000",Detached,"(Address not available) , Etobicoke - Kingsview Village-The Westway",2003-12-13,43.700547,-79.55201749999999
/on/etobicoke-real-estate/toronto-75-lynngrove-ave/home/weQp5yOVgKBYd0ZE/,"$1,348,000","$1,560,000",Detached,"Toronto - 75 Lynngrove Ave , Etobicoke - Kingsway South",2019-11-15,43.6497106,-79.5190449
/on/etobicoke-real-estate/34-79-elder-ave/home/2Zpj39Ek4Rd3DrK8/,"$1,198,500","$1,170,000",Freehold Townhouse,"34 - 79 Elder Ave , Etobicoke - Long Branch",2 days ago,43.5980202,-79.5287408
/on/etobicoke-real-estate/17-strath-humber-crt/home/weQp5yOElEB3d0ZE/,"$2,289,000","$2,150,000",Detached,"17 Strath Humber Crt , Etobicoke - Edenbridge-Humber Valley",2 days ago,43.6616571,-79.5158
/on/etobicoke-real-estate/85-barrhead-cres/home/zVwod7vr4OM75mGN/,"$1,199,999","$1,140,000",Detached,"85 Barrhead Cres , Etobicoke - Rexdale-Kipling",2 days ago,43.7214642,-79.5658466
/on/etobicoke-real-estate/557-prince-edward-dr-n/home/aQmD7znldLO7J9Bo/,"$1,895,000","$1,800,000",Detached,"557 Prince Edward Dr N , Etobicoke - Kingsway South",2 days ago,43.6597888,-79.5097112
/on/etobicoke-real-estate/79-elder-ave/home/DO1w3WqVPlqy8Jg0/,"$1,198,500","$1,170,000",Freehold Townhouse,"79 ELDER AVENUE , Etobicoke - Long Branch",2 days ago,43.5980202,-79.5287408
/on/etobicoke-real-estate/1504-2045-lake-shore-blvd-w/home/JjAXw7Q1pGQ7QOzg/,"$1,099,999","$1,105,000",Condo Apt,"1504 - 2045 Lake Shore Blvd W , Etobicoke - Mimico",2 days ago,43.6313539,-79.4746095
/on/etobicoke-real-estate/802-110-marine-parade-dr/home/L4KAX7NZMV7eRPJw/,"$1,499,998","$1,400,000",Condo Apt,"802 - 110 Marine Parade Dr , Etobicoke - Mimico",2 days ago,43.6253774,-79.47817529999999
/on/etobicoke-real-estate/709-2269-lake-shore-blvd-w/home/VaD6p781Qzn3wRQr/,"$750,000","$725,000",Condo Apt,"709 - 2269 Lake shore Blvd W , Etobicoke - Mimico",3 days ago,43.6196334,-79.48429709999999
/on/etobicoke-real-estate/501-2045-lake-shore-blvd-w/home/xmZRW7nogaM3EBO9/,"$875,000","$875,000",Condo Apt,"501 - 2045 Lake Shore Blvd W , Etobicoke - Mimico",3 days ago,43.6313539,-79.4746095
/on/etobicoke-real-estate/1512-88-park-lawn-rd/home/VgAaOyL4QgmyGxMb/,"$738,800","$715,000",Condo Apt,"1512 - 88 Park Lawn Rd , Etobicoke - Mimico",3 days ago,43.6240551,-79.4857095
/on/etobicoke-real-estate/1903-36-zorra-st/home/1DBW7RDRKKxYqlAp/,"$679,900","$587,000",Condo Apt,"1903 - 36 Zorra St , Etobicoke - Islington-City Centre West",3 days ago,43.619725,-79.5218167
/on/etobicoke-real-estate/2606-20-shore-breeze-dr/home/obqB1765j9WyZajD/,"$599,990","$612,000",Condo Apt,"2606 - 20 Shore Breeze Dr , Etobicoke - Mimico",3 days ago,43.6235018,-79.47896469999999
/on/etobicoke-real-estate/2106-88-park-lawn-rd/home/JRv53KDldVqYVPW4/,"$775,000","$765,000",Condo Apt,"2106 - 88 Park Lawn Rd , Etobicoke - Mimico",3 days ago,43.6240551,-79.4857095
/on/etobicoke-real-estate/2703-10-eva-rd/home/aQmD7zn6GaO7J9Bo/,"$549,900","$546,000",Condo Apt,"2703 - 10 Eva Rd , Etobicoke - Etobicoke West Mall",3 days ago,43.6401499,-79.5629197
/on/etobicoke-real-estate/603-5-rowntree-rd/home/02Zpj39PVaV7DrK8/,"$569,000","$550,000",Condo Apt,"603 - 5 Rowntree Rd , Etobicoke - Mount Olive-Silverstone-Jamestown",3 days ago,43.7494792,-79.5807578
/on/etobicoke-real-estate/290-gamma-st/home/gJRv53K41O4YVPW4/,"$1,899,000","$1,885,000",Detached,"290 Gamma St , Etobicoke - Alderwood",3 days ago,43.6121582,-79.54120759999999
/on/etobicoke-real-estate/49-westhumber-blvd/home/1DBW7RDNBLQYqlAp/,"$959,000","$940,000",Detached,"49 Westhumber Blvd , Etobicoke - West Humber-Clairville",3 days ago,43.7267958,-79.57930660000001
/on/etobicoke-real-estate/1208-236-albion-rd/home/MB5bO3x8LXg3kWVP/,"$495,000","$455,000",Condo Apt,"1208 - 236 Albion Rd , Etobicoke - Elms-Old Rexdale",3 days ago,43.7219633,-79.54401899999999
/on/etobicoke-real-estate/322-2261-lake-shore-blvd-w/home/x9w8o3mp0WV7GKjm/,"$699,900","$680,000",Condo Apt,"322 - 2261 Lake Shore Blvd W , Etobicoke - Mimico",3 days ago,43.6198821,-79.4833294
/on/etobicoke-real-estate/36-summerfield-cres/home/bqB176WlDWB3ZajD/,"$1,100,000","$1,050,000",Detached,"36 Summerfield Cres , Etobicoke - Eringate-Centennial-West Deane",3 days ago,43.6600206,-79.5727769
/on/etobicoke-real-estate/7-145-long-branch-ave/home/0A9X3jP6k2LyvgxV/,"$899,900","$885,000",Condo Townhouse,"7 - 145 Long Branch Ave , Etobicoke - Long Branch",3 days ago,43.5967826,-79.5345561
/on/etobicoke-real-estate/317-1-michael-power-pl/home/02Zpj39LQZz7DrK8/,"$479,000","$525,000",Condo Apt,"317 - 1 Michael Power Pl , Etobicoke - Islington-City Centre West",3 days ago,43.643914,-79.5291683
/on/etobicoke-real-estate/2203-2230-lakeshore-blvd-w/home/0J6Em7b9L9gyXBeq/,"$549,000","$543,000",Condo Apt,"2203 - 2230 Lakeshore Blvd W , Etobicoke - Mimico",4 days ago,43.6215812,-79.4826669
/on/etobicoke-real-estate/204-30-old-mill-rd/home/6VLaGyG2JV1YW1ZD/,"$1,798,000","$1,700,000",Condo Apt,"204 - 30 Old Mill Rd , Etobicoke - Kingsway South",4 days ago,43.6514739,-79.4937815
/on/etobicoke-real-estate/45-meadowvale-dr/home/BGMnKYqdJMd3w1Qr/,"$2,298,000","$2,090,000",Detached,"45 Meadowvale Dr , Etobicoke - Stonegate-Queensway",4 days ago,43.645935,-79.50828299999999
/on/etobicoke-real-estate/908-2662-bloor-st-w/home/owJKR7P9l4g3XeLP/,"$998,000","$950,000",Condo Apt,"908 - 2662 Bloor St W , Etobicoke - Kingsway South",4 days ago,43.6496254,-79.4944589
/on/etobicoke-real-estate/26-bigham-cres/home/a6zqW7dn1wMY5eZE/,"$1,119,000","$1,105,000",Semi-Detached,"26 Bigham Cres , Etobicoke - Eringate-Centennial-West Deane",4 days ago,43.6624524,-79.5865903
/on/etobicoke-real-estate/94-anglesey-blvd/home/5xLkv3V1NGz7DBNr/,"$1,749,000","$1,665,000",Detached,"94 Anglesey Blvd , Etobicoke - Edenbridge-Humber Valley",4 days ago,43.6646767,-79.53166499999999
/on/etobicoke-real-estate/17-edilou-dr/home/nbq6y10a8PaYo9DA/,"$1,248,000","$1,195,000",Detached,"17 Edilou Dr , Etobicoke - Alderwood",4 days ago,43.6059856,-79.5315219
/on/etobicoke-real-estate/816-2200-lake-shore-blvd-w/home/damgL7AN1Vn3Z1MW/,"$575,000","$562,500",Condo Apt,"816 - 2200 Lake Shore Blvd W , Etobicoke - Mimico",4 days ago,43.6015351,-79.5008962
/on/etobicoke-real-estate/214-2267-lake-shore-blvd-w/home/RdXze3erjZOY8m9K/,"$648,000","$598,000",Condo Apt,"214 - 2267 Lake Shore Blvd W , Etobicoke - Mimico",4 days ago,43.6189509,-79.4830029
/on/etobicoke-real-estate/804-3-marine-parade-dr/home/mLzQ1y5Jm0q7qdeK/,"$675,000","$659,000",Condo Apt,"804 - 3 Marine Parade Dr , Etobicoke - Mimico",5 days ago,43.6302208,-79.4761374
/on/etobicoke-real-estate/423-293-the-kingsway/home/ZxwR7MwBdo2YKabB/,"$659,000","$652,000",Condo Apt,"423 - 293 The Kingsway , Etobicoke - Edenbridge-Humber Valley",5 days ago,43.66335309999999,-79.52034280000001
/on/etobicoke-real-estate/506-320-dixon-rd-w/home/knbq6y1WKVB3o9DA/,"$399,900","$383,000",Condo Apt,"506 - 320 Dixon Rd , Etobicoke - Kingsview Village-The Westway",5 days ago,43.6966281,-79.5522517
/on/etobicoke-real-estate/413-3085-bloor-st-w/home/ZNkKJ3J02xmyd4V6/,"$999,900","$1,070,000",Condo Apt,"413 - 3085 Bloor St W , Etobicoke - Stonegate-Queensway",5 days ago,43.6463224,-79.514715
/on/etobicoke-real-estate/2611-6-eva-rd/home/02Zpj39bOdqYDrK8/,"$525,000","$515,000",Condo Apt,"2611 - 6 Eva Rd , Etobicoke - Etobicoke West Mall",5 days ago,43.6406065,-79.56235989999999
/on/etobicoke-real-estate/24-wallis-cres/home/0ZxwR7MoA2xYKabB/,"$874,999","$815,000",Detached,"24 Wallis Cres , Etobicoke - Mount Olive-Silverstone-Jamestown",6 days ago,43.7542917,-79.5923466
/on/etobicoke-real-estate/405-35-fontenay-crt/home/L5VXv3lomaV7j2q8/,"$590,888","$588,000",Condo Apt,"405 - 35 Fontenay Crt , Etobicoke - Edenbridge-Humber Valley",6 days ago,43.6828185,-79.5109251
/on/etobicoke-real-estate/805-859-the-queensway/home/10QqypNNOrD3LGlV/,"$419,999","$501,000",Condo Apt,"805 - 859 The Queensway , Etobicoke - Stonegate-Queensway",6 days ago,43.6245585,-79.5097756
/on/etobicoke-real-estate/2224-5233-dundas-st-w/home/weQp5yOwNo0yd0ZE/,"$636,000","$618,888",Condo Apt,"2224 - 5233 Dundas St W , Etobicoke - Islington-City Centre West",6 days ago,43.6388516,-79.53688509999999
/on/etobicoke-real-estate/1204-61-richview-rd/home/eVbOYEpA8Jn3x2P0/,"$543,000","$515,000",Condo Apt,"1204 - 61 Richview Rd , Etobicoke - Humber Heights",6 days ago,43.684081,-79.5167385
/on/etobicoke-real-estate/16-stanley-ave/home/x9w8o3m4ldV7GKjm/,"$999,000","$1,185,000",Detached,"16 Stanley Ave , Etobicoke - Mimico",6 days ago,43.617439,-79.4888943
/on/etobicoke-real-estate/509-61-markbrook-lane/home/mLzQ1y591AjyqdeK/,"$549,000","$535,000",Condo Apt,"509 - 61 Markbrook Lane , Etobicoke - Mount Olive-Silverstone-Jamestown",6 days ago,43.7591633,-79.5851758
/on/etobicoke-real-estate/28-sixth-st/home/zVwod7vrZ8G75mGN/,"$1,130,000","$1,130,000",Detached,"28 Sixth St , Etobicoke - New Toronto",6 days ago,43.5971775,-79.50283809999999
/on/etobicoke-real-estate/518-prince-edward-dr-n/home/2Z5BX328Jz1yDar0/,"$2,499,999","$2,480,000",Detached,"518 Prince Edward Dr N , Etobicoke - Kingsway South",7 days ago,43.6582764,-79.5099144
/on/etobicoke-real-estate/27-alma-dr/home/bEDRYagLLxQ71VaB/,"$999,000","$1,195,000",Detached,"27 Alma Dr , Etobicoke - Humber Heights",7 days ago,43.6919166,-79.5197606
/on/etobicoke-real-estate/90-stephen-dr/home/jAXw7QwEJKbYQOzg/,"$1,230,000","$1,210,000",Detached,"90 Stephen Dr , Etobicoke - Stonegate-Queensway",7 days ago,43.6355023,-79.4867434
/on/etobicoke-real-estate/1005-3391-bloor-st-w/home/knbq6y1KoXB3o9DA/,"$519,000","$500,000",Condo Apt,"1005 - 3391 Bloor St , Etobicoke - Islington-City Centre West",7 days ago,43.6442533,-79.52385249999999
/on/etobicoke-real-estate/1006-110-marine-parade-dr/home/a6zqW7dzM8XY5eZE/,"$649,000","$635,000",Condo Apt,"1006 - 110 Marine Parade Dr , Etobicoke - Mimico",8 days ago,43.6253774,-79.47817529999999
/on/etobicoke-real-estate/805-5101-dundas-st-w/home/a6zqW7d0Prv75eZE/,"$589,900","$570,000",Condo Apt,"805 - 5101 Dundas St W , Etobicoke - Islington-City Centre West",8 days ago,43.6449812,-79.5319617
/on/etobicoke-real-estate/32-windsor-rd/home/1DBW7RDBDZ1YqlAp/,"$1,280,000","$1,270,000",Detached,"32 Windsor Rd , Etobicoke - Kingsview Village-The Westway",8 days ago,43.69996709999999,-79.55692169999999
/on/etobicoke-real-estate/24-duncairn-dr/home/obqB176ZZgw7ZajD/,"$1,399,900","$1,300,000",Detached,"24 Duncairn Dr , Etobicoke - Princess-Rosethorn",8 days ago,43.66078,-79.5538243
/on/etobicoke-real-estate/23-augustus-terr/home/XeEn7X6DKE0YrPo8/,"$1,288,000","$1,285,000",Condo Townhouse,"23 AUGUSTUS Terr , Etobicoke - Islington-City Centre West",9 days ago,43.63298,-79.52037
/on/etobicoke-real-estate/914-1185-the-queensway-ave/home/JjAXw7QaB6M7QOzg/,"$534,900","$530,000",Condo Apt,"914 - 1185 The Queensway , Etobicoke - Islington-City Centre West",9 days ago,43.6218008,-79.5215288
/on/etobicoke-real-estate/2908-59-annie-craig-dr/home/6VLaGyGqZG3W1ZDM/,"$949,900","$940,000",Condo Apt,"2908 - 59 Annie Craig Dr , Etobicoke - Mimico",9 days ago,43.6249692,-79.47822099999999
/on/etobicoke-real-estate/804-2045-lake-shore-blvd-w/home/dXze3eKPO9ky8m9K/,"$1,198,000","$1,102,000",Condo Apt,"804 - 2045 Lake Shore Blvd W , Etobicoke - Mimico",9 days ago,43.6313539,-79.4746095
/on/etobicoke-real-estate/21-115-long-branch-ave/home/mLzQ1y5zkgw7qdeK/,"$799,000","$798,000",Condo Townhouse,"21 - 115 Long Branch Ave , Etobicoke - Long Branch",9 days ago,43.5959645,-79.5341066
/on/etobicoke-real-estate/2001-251-manitoba-st/home/VaD6p78r22zYwRQr/,"$549,900","$540,000",Condo Apt,"2001 - 251 Manitoba St , Etobicoke - Mimico",9 days ago,43.6238372,-79.4893647
/on/etobicoke-real-estate/909-2901-kipling-ave/home/owJKR7PWEz9yXeLP/,"$498,888","$520,000",Condo Apt,"909 - 2901 Kipling Ave , Etobicoke - Mount Olive-Silverstone-Jamestown",9 days ago,43.7581999,-79.5885005
/on/etobicoke-real-estate/33-vaudeville-dr/home/bEDRYag2dBv71VaB/,"$1,549,900","$1,500,000",Semi-Detached,"33 Vaudeville Dr , Etobicoke - Alderwood",9 days ago,43.609759,-79.5329721
/on/etobicoke-real-estate/4503-20-shore-breeze-dr-w/home/JjAXw7QmmXa7QOzg/,"$799,999","$930,000",Condo Apt,"4503 - 20 Shore Breeze Dr , Etobicoke - Mimico",9 days ago,43.6235018,-79.47896469999999
/on/etobicoke-real-estate/12-broadfield-dr/home/9w8o3m5JJOv3GKjm/,"$1,349,000","$1,330,000",Detached,"12 Broadfield Dr , Etobicoke - Markland Wood",9 days ago,43.6276816,-79.57520819999999
/on/etobicoke-real-estate/76-lobo-mews/home/N0A9X3jwNPKYvgxV/,"$1,299,000","$1,287,000",Freehold Townhouse,"76 Lobo Mews , Etobicoke - Islington-City Centre West",9 days ago,43.6389647,-79.52593209999999
/on/etobicoke-real-estate/611-11-wincott-dr/home/dXawjy4wVdmYrR18/,"$499,888","$485,000",Condo Apt,"611 - 11 Wincott Dr , Etobicoke - Kingsview Village-The Westway",9 days ago,43.6953232,-79.550889
/on/etobicoke-real-estate/114-saskatoon-dr/home/dXawjy4gnEbYrR18/,"$1,549,900","$1,500,000",Detached,"114 Saskatoon Dr , Etobicoke - Kingsview Village-The Westway",9 days ago,43.6931057,-79.5444062
/on/etobicoke-real-estate/206-20-brin-dr/home/BDO1w3WQPqny8Jg0/,"$999,999","$930,000",Condo Apt,"206 - 20 Brin Dr , Etobicoke - Edenbridge-Humber Valley",9 days ago,43.6614939,-79.5118181
/on/etobicoke-real-estate/1305-36-park-lawn-rd/home/dXawjy4k9pbYrR18/,"$789,900","$735,000",Condo Apt,"1305 - 36 Park Lawn Rd , Etobicoke - Mimico",10 days ago,43.6235942,-79.4845177
/on/etobicoke-real-estate/14-95-eastwood-park-gdns/home/DnM697kEg6OYbmwe/,"$819,000","$814,000",Condo Townhouse,"14 - 95 Eastwood Park Gdns , Etobicoke - Long Branch",10 days ago,43.5947061,-79.5351847
/on/etobicoke-real-estate/22-queen-anne-rd/home/DnM697k9dJQYbmwe/,"$2,649,000","$2,750,000",Detached,"22 Queen Anne Rd , Etobicoke - Kingsway South",10 days ago,43.6569239,-79.50618999999999
/on/etobicoke-real-estate/801-17-michael-power-pl/home/JjAXw7QeZm7QOzgm/,"$499,000","$488,000",Condo Apt,"801 - 17 Michael Power Pl , Etobicoke - Islington-City Centre West",10 days ago,43.6454798,-79.5303831
/on/etobicoke-real-estate/26-breadner-dr/home/10QqypNPpdV3LGlV/,"$1,149,000","$1,112,000",Detached,"26 Breadner Dr , Etobicoke - Willowridge-Martingrove-Richview",10 days ago,43.6915868,-79.5597241
/on/etobicoke-real-estate/703-335-mill-rd/home/xmZRW7nbVM17EBO9/,"$450,000","$465,100",Condo Apt,"703 - 335 Mill Rd , Etobicoke - Eringate-Centennial-West Deane",10 days ago,43.6399968,-79.5845295
/on/etobicoke-real-estate/4-lloyd-manor-rd/home/eVbOYEp0ANV3x2P0/,"$1,098,000","$1,006,000",Detached,"4 Lloyd Manor Rd , Etobicoke - Princess-Rosethorn",10 days ago,43.6593446,-79.54697569999999
/on/etobicoke-real-estate/115-tenth-st/home/xmZRW7nw5w13EBO9/,"$1,499,000","$1,600,000",Triplex,"115 Tenth St , Etobicoke - New Toronto",10 days ago,43.599631,-79.5082049
/on/etobicoke-real-estate/506-7-michael-power-pl/home/ZEXrx30Wqvp7OklN/,"$549,900","$542,500",Condo Apt,"506 - 7 Michael Power Pl , Etobicoke - Islington-City Centre West",10 days ago,43.6445123,-79.52937969999999
/on/etobicoke-real-estate/211-25-neighbourhood-lane/home/ZEXrx30AEgZYOklN/,"$535,990","$535,000",Condo Apt,"211 - 25 Neighbourhood Lane , Etobicoke - Stonegate-Queensway",10 days ago,43.6382223,-79.48922499999999
/on/etobicoke-real-estate/97-willingdon-blvd/home/oK8OgYB48O47JmG2/,"$2,899,000","$2,790,000",Detached,"97 Willingdon Blvd , Etobicoke - Kingsway South",10 days ago,43.6530783,-79.51218159999999
/on/etobicoke-real-estate/2605-380-dixon-rd/home/2Z5BX322BK83Dar0/,"$449,000","$445,000",Condo Apt,"2605 - 380 Dixon Rd , Etobicoke - Kingsview Village-The Westway",10 days ago,43.6949961,-79.5567885
/on/etobicoke-real-estate/811-2261-lakeshore-blvd-w/home/PXRla7gzDq9yjEvL/,"$699,900","$728,917",Condo Apt,"811 - 2261 Lakeshore Blvd W , Etobicoke - Mimico",11 days ago,43.6198821,-79.4833294
/on/etobicoke-real-estate/1600-1-aberfoyle-cres/home/gAaOyL8NvDZyGxMb/,"$1,599,000","$1,515,000",Condo Apt,"1600 - 1 Aberfoyle Cres , Etobicoke - Islington-City Centre West",11 days ago,43.6458046,-79.5197835
/on/etobicoke-real-estate/7-tranquil-dr/home/B5bO3xXq26p3kWVP/,"$1,299,900","$1,260,000",Detached,"7 Tranquil Dr , Etobicoke - Etobicoke West Mall",11 days ago,43.64181199999999,-79.5727948
/on/etobicoke-real-estate/13-fourteenth-st/home/kbEDRYaX9Mv31VaB/,"$919,900","$899,000",Detached,"13 Fourteenth St , Etobicoke - New Toronto",11 days ago,43.6003689,-79.5131911
/on/etobicoke-real-estate/5j-brussells-st/home/weQp5yON8agYd0ZE/,"$1,199,900","$1,400,000",Freehold Townhouse,"5J Brussels St , Etobicoke - Stonegate-Queensway",11 days ago,43.6265536,-79.4911612
/on/etobicoke-real-estate/809-5101-dundas-st-w/home/Z5BX32zwJEQ3Dar0/,"$569,000","$545,000",Condo Apt,"809 - 5101 Dundas St W , Etobicoke - Islington-City Centre West",11 days ago,43.6449812,-79.5319617
/on/etobicoke-real-estate/40-exmoor-dr/home/BDO1w3WNwKO78Jg0/,"$1,458,000","$1,410,000",Detached,"40 Exmoor Dr , Etobicoke - Long Branch",11 days ago,43.5925118,-79.5437737
/on/etobicoke-real-estate/38-kingdom-st/home/MB5bO3xEbJWYkWVP/,"$1,788,000","$1,772,000",Detached,"38 Kingdom St , Etobicoke - Humber Heights",11 days ago,43.6956877,-79.5173794
/on/etobicoke-real-estate/4-treeview-dr/home/mLzQ1y5EWW4yqdeK/,"$1,685,000","$1,630,000",Detached,"4 Treeview Dr , Etobicoke - Alderwood",11 days ago,43.6049483,-79.53304179999999
/on/etobicoke-real-estate/57-lake-shore-dr/home/EeVbOYEqxxnYx2P0/,"$1,695,000","$1,800,000",Semi-Detached,"57 Lake Shore Dr , Etobicoke - New Toronto",11 days ago,43.5969719,-79.5003339
/on/etobicoke-real-estate/1416-islington-ave/home/L5VXv3leMKLYj2q8/,"$1,249,000","$1,254,000",Detached,"1416 Islington Ave , Etobicoke - Princess-Rosethorn",11 days ago,43.6566053,-79.52898379999999
/on/etobicoke-real-estate/81-615-rathburn-rd-e/home/2Z5BX32WnQYDar0z/,"$849,000","$820,000",Condo Townhouse,"81 - 615 Rathburn Rd , Etobicoke - Eringate-Centennial-West Deane",11 days ago,43.6467064,-79.5871102
/on/etobicoke-real-estate/56-636-evans-ave/home/weQp5yO4vj07d0ZE/,"$999,000","$999,000",Condo Townhouse,"56 - 636 Evans Ave , Etobicoke - Alderwood",11 days ago,43.6103913,-79.5513204
/on/etobicoke-real-estate/701-15-la-rose-ave/home/jAXw7Qw1k6MYQOzg/,"$569,000","$569,000",Condo Apt,"701 - 15 La Rose Ave , Etobicoke - Humber Heights",11 days ago,43.68634,-79.51419
/on/etobicoke-real-estate/13-hawthorne-rd/home/VLaGyG2JPnBYW1ZD/,"$999,000","$1,276,000",Detached,"13 Hawthorne Rd , Etobicoke - Kingsview Village-The Westway",12 days ago,43.6914842,-79.55507639999999
/on/etobicoke-real-estate/3-humber-ridge-dr/home/EXrx30XK25p3OklN/,"$1,899,000","$1,850,000",Detached,"3 Humber Ridge Dr , Etobicoke - Stonegate-Queensway",12 days ago,43.639881,-79.494587
/on/etobicoke-real-estate/20-braecrest-ave/home/xLkv3V9aXAx7DBNr/,"$1,249,000","$1,220,000",Detached,"20 Braecrest Ave , Etobicoke - Humber Heights",12 days ago,43.6963257,-79.5287182
/on/etobicoke-real-estate/41a-algoma-st/home/J6Em7bnaE9n7XBeq/,"$995,000","$950,000",Detached,"41A Algoma St , Etobicoke - Mimico",12 days ago,43.6216654,-79.4953679
/on/etobicoke-real-estate/56-warwood-rd/home/RdXze3e6GmOY8m9K/,"$4,398,000","$4,180,000",Detached,"56 Warwood Rd , Etobicoke - Islington-City Centre West",12 days ago,43.6508182,-79.5568366
