field,name
HOMICID96,HOMICIDE_RATE_2015
HOMICID97,HOMICIDE_RATE_2016
HOMICID98,HOMICIDE_RATE_2017
HOMICID99,HOMICIDE_RATE_2018
HOMICID100,HOMICIDE_RATE_2019
HOMICID101,HOMICIDE_RATE_2020
HOMICID102,HOMICIDE_RATE_2021
HOMICID103,HOMICIDE_RATE_2022
HOMICID104,HOMICIDE_RATE_2023
ROBBERY105,ROBBERY_2014
ROBBERY106,ROBBERY_2015
ROBBERY107,ROBBERY_2016
ROBBERY108,ROBBERY_2017
ROBBERY109,ROBBERY_2018
ROBBERY110,ROBBERY_2019
ROBBERY111,ROBBERY_2020
ROBBERY112,ROBBERY_2021
ROBBERY113,ROBBERY_2022
ROBBERY114,ROBBERY_2023
ROBBERY115,ROBBERY_RATE_2014
ROBBERY116,ROBBERY_RATE_2015
ROBBERY117,ROBBERY_RATE_2016
ROBBERY118,ROBBERY_RATE_2017
ROBBERY119,ROBBERY_RATE_2018
ROBBERY120,ROBBERY_RATE_2019
ROBBERY121,ROBBERY_RATE_2020
ROBBERY122,ROBBERY_RATE_2021
ROBBERY123,ROBBERY_RATE_2022
ROBBERY124,ROBBERY_RATE_2023
SHOOTIN125,SHOOTING_2014
SHOOTIN126,SHOOTING_2015
SHOOTIN127,SHOOTING_2016
SHOOTIN128,SHOOTING_2017
SHOOTIN129,SHOOTING_2018
SHOOTIN130,SHOOTING_2019
SHOOTIN131,SHOOTING_2020
SHOOTIN132,SHOOTING_2021
SHOOTIN133,SHOOTING_2022
SHOOTIN134,SHOOTING_2023
SHOOTIN135,SHOOTING_RATE_2014
SHOOTIN136,SHOOTING_RATE_2015
SHOOTIN137,SHOOTING_RATE_2016
SHOOTIN138,SHOOTING_RATE_2017
SHOOTIN139,SHOOTING_RATE_2018
SHOOTIN140,SHOOTING_RATE_2019
SHOOTIN141,SHOOTING_RATE_2020
SHOOTIN142,SHOOTING_RATE_2021
SHOOTIN143,SHOOTING_RATE_2022
SHOOTIN144,SHOOTING_RATE_2023
THEFTFR145,THEFTFROMMV_2014
THEFTFR146,THEFTFROMMV_2015
THEFTFR147,THEFTFROMMV_2016
THEFTFR148,THEFTFROMMV_2017
THEFTFR149,THEFTFROMMV_2018
THEFTFR150,THEFTFROMMV_2019
THEFTFR151,THEFTFROMMV_2020
THEFTFR152,THEFTFROMMV_2021
THEFTFR153,THEFTFROMMV_2022
THEFTFR154,THEFTFROMMV_2023
THEFTFR155,THEFTFROMMV_RATE_2014
THEFTFR156,THEFTFROMMV_RATE_2015
THEFTFR157,THEFTFROMMV_RATE_2016
THEFTFR158,THEFTFROMMV_RATE_2017
THEFTFR159,THEFTFROMMV_RATE_2018
THEFTFR160,THEFTFROMMV_RATE_2019
THEFTFR161,THEFTFROMMV_RATE_2020
THEFTFR162,THEFTFROMMV_RATE_2021
THEFTFR163,THEFTFROMMV_RATE_2022
THEFTFR164,THEFTFROMMV_RATE_2023
THEFTOV165,THEFTOVER_2014
THEFTOV166,THEFTOVER_2015
THEFTOV167,THEFTOVER_2016
THEFTOV168,THEFTOVER_2017
THEFTOV169,THEFTOVER_2018
THEFTOV170,THEFTOVER_2019
THEFTOV171,THEFTOVER_2020
THEFTOV172,THEFTOVER_2021
THEFTOV173,THEFTOVER_2022
THEFTOV174,THEFTOVER_2023
THEFTOV175,THEFTOVER_RATE_2014
THEFTOV176,THEFTOVER_RATE_2015
THEFTOV177,THEFTOVER_RATE_2016
THEFTOV178,THEFTOVER_RATE_2017
THEFTOV179,THEFTOVER_RATE_2018
THEFTOV180,THEFTOVER_RATE_2019
THEFTOV181,THEFTOVER_RATE_2020
THEFTOV182,THEFTOVER_RATE_2021
THEFTOV183,THEFTOVER_RATE_2022
THEFTOV184,THEFTOVER_RATE_2023
