,price,address,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Area,Community,Bedrooms,Bedrooms Plus,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Ensuite Laundry,Air Conditioning,Fireplace,Laundry,Pets,Stories,Basement,Elevator,Heating,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Parking Space,Parking Description,Lockers,Locker Quantity,Locker Level,Maintenance,Taxes,Tax Year,Common Elements Included,Heating Included,Hydro Included,Water Included,Amenity,Parcel Number,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Virtual Tour,Locker Number,Building Insurance Included,Central A/C Included,Parking Included,Transaction Type,Property Type,Attachment,Size (Interior),Ownership,MLS®#,Bedrooms Above Ground,Bedrooms Below Ground,Appliances,Construction Material,Heating Fuel,Cooling,Structure,Total Stories,View,Storage,Fire Protection,Parking Space (B),Parking Space (C),Parking Spaces (Total),Maintenance Fee,Payment Frequency,Water,Land Amenties,Building Amenities,Lot Features,Access,Sewer,Location Description,Pool,Size,Acres,Zoning Description,Video,UFFI,Feature,Age,Assessment,Assesment Year,Rooms Plus,Water supply,Kitchens Plus,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Zoning,Retirement,Taxes Included,Share Percentage,Exterior Features,Parcel of Tied Land,Handicap Equipped,Electricity,Gas,Cable,Telephone,Lot Irregularities,Cable Included,Building Area Total,Building Area Source,RATIO Current Price By Above Grade Finished Area,Area Major,Region,Property Attached,Property Sub Type,Area Minor,Last Modified,Current Price,Survey Type,Common Interest,Postal Code,Full Bathrooms,Inclusions,Above Grade Finished Area Units,Above Grade Finished Area,Above Grade Finished Area Source,Laundry Features,Kitchen Appliances,Patio And Porch Features,Total Bathrooms,Main Level Bathrooms,Main Level Bedrooms,Interior Features,Roof,Construction,Room Kitchen Level,Building Area Units,Kitchens Above Grade,Number Of Rooms Above Grade,Baths Total Rooms,Number Of 4 Piece Bathrooms,Kitchens Total,Beds Above Grade,Driveway Parking,Covered Spaces,Association Fee Frequency,Association,Association Fee Includes,Association Fee,Direction Faces,Directions,Water Source,FarmLandAreaUnits,Frontage Type �,Acres Range,Property Management Company,Condo Corporation Number,Energy Certificate,Green PIS,Open House Date,Open House Start,Open House Finished,Waterfront,Waterfront Features,Shore Allow,Shoreline Exposure,Half Bathrooms,Flooring,Basement Status,Parking Space (A),Community Name,Size Irregular,Depth,Size (Frontage),Additional Monthly Fee,Water Supply,Open House From,Office Area Units,Total Area,Total Area metric,Taxes Type,Utilities,Free Standing,Lot Code,List Price Type,Office Area,Water Body Name,Basement Features,Foundation,Certificate Level,Farm/Agriculture,Retail Area,Retail Area metric,Sprinklers,Business Type,Rail,Chattels Included,Expense Type,Financial Statement,Franchise,Survey,Alternate MLSN umber,Window Features,Number Of 3 Piece Bathrooms,Baths On Level Basement Count,INumber Of 2 Piece Bathrooms,Baths On Level Second Count,Beds On Level Second Count,Number Of Rooms Below Grade,Open Parking Spaces,Attached Garage,Open Parking,Lot Size Dimensions,Doing Business As,Seats,Days Open,Number of Employees,Llbo,Outside Storage,Percent Building,Soil Test,Area Influence,Com_cn_fee,Ceil Height (ft),Ceiling Height,Crane,Industrial Area,Industrial Area Units,Central Vac,lat,long
252,3295000,67 Walmsley Boulevard,"['Foyer', 'Kitchen', 'Living', 'Dining', '2nd Br', '3rd Br', '4th Br', 'Br', 'Rec', 'Office', 'Mudroom']","['1.78 x 4.47', '2.69 x 4.83', '3.63 x 5.36', '3.40 x 5.05', '3.38 x 5.51', '3.00 x 3.05', '2.11 x 4.17', '3.33 x 5.03', '4.37 x 5.46', '2.24 x 3.53', '1.80 x 2.59']","['B/I Closet, Stone Floor, Pot Lights', 'Centre Island, Marble Counter, Eat-In Kitchen', 'Fireplace, Combined W/Kitchen, Large Window', 'Combined W/Kitchen, Pantry, Window', '4 Pc Ensuite, W/I Closet, Large Window', 'Closet, Window, Pot Lights', 'O/Looks Garden, Large Window, Pot Lights', '3 Pc Ensuite, B/I Closet, Large Window', 'Heated Floor, Above Grade Window', 'Above Grade Window, Pocket Doors, Heated Floor', 'Walk-Out, Pot Lights']",Sale,Detached,2 1/2 Storey,,Toronto,Yonge-St. Clair,4.0,1.0,5.0,1.0,11.0,N,,,,Central Air,Y,,,,Sep Entrance,N,Water,Brick,,,,1.0,1.0,,,,,,,10313.92,2024.0,,,,,,211830409.0,Yonge & St.Clair,Toronto C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,,Municipal,,,0.0,"PT LT 118-119 PL 743 DEER PARK AS IN CA307986,  T/W & S/T CA307986; CITY OF TORONTO",S,24.75,123.0,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-24 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.692268,-79.3993778
253,1778000,3 Lochway Court,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Family', 'Laundry']","['3.45 x 7.02', '2.63 x 3.00', '3.42 x 5.69', '4.56 x 3.06', '2.64 x 4.00', '2.24 x 3.09', '5.08 x 4.09', '6.09 x 5.77', '2.88 x 2.82']","['Hardwood Floor, Combined W/Dining, Fireplace', 'Hardwood Floor, Pot Lights, Combined W/Living', 'Hardwood Floor, Quartz Counter, Stainless Steel Appl', 'Hardwood Floor, W/I Closet, Large Window', 'Hardwood Floor, Closet, Window', 'Hardwood Floor, Window, Closet', 'Hardwood Floor, Window, O/Looks Backyard', 'Hardwood Floor, Fireplace, Window', 'Window, Tile Floor, Pot Lights']",Sale,Detached,2-Storey,,Toronto,Islington-City Centre West,4.0,,3.0,1.0,9.0,Y,,,,Central Air,Y,,,,Full,,Forced Air,Brick,Attached,,,3.0,5.0,,,,,,,6137.18,2024.0,,,,,,,Kipling and Burnhamthorpe,Toronto W08,,,,https://www.listedhq.com/3lochwaycourt?mls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,Fenced Yard,,,,,Municipal,,Private,2.0,"LT 1,  PL 8228 ; ETOBICOKE ,  CITY OF TORONTO",E,85.77,77.27,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-23 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6474954,-79.5425968
254,1099000,82 Sedgemount Drive,"['Prim Bdrm', '2nd Br', '3rd Br', 'Bathroom', 'Kitchen', 'Living', 'Br', 'Br', 'Br', 'Br', 'Living', 'Bathroom']","['3.26 x 4.28', '2.91 x 3.01', '3.00 x 3.66', '1.95 x 2.08', '2.99 x 3.77', '5.02 x 6.53', '3.02 x 3.15', '3.68 x 3.99', '2.13 x 2.92', '3.12 x 3.14', '4.93 x 5.02', '1.34 x 2.50']","['W/O To Deck, Closet', 'Window, Closet', 'Window, Closet', '4 Pc Bath', 'Above Grade Window', 'Combined W/Dining', 'Window', 'Window', 'Window', 'Window', 'Combined W/Kitchen, Combined W/Dining', '2 Pc Bath']",Sale,Detached,Bungalow,1100-1500,Toronto,Woburn,3.0,4.0,3.0,1.0,6.0,N,,,,Central Air,N,,,,Sep Entrance,,Forced Air,Brick,Carport,,,4.0,5.0,,,,,,,4105.76,2024.0,,,,,,62760066.0,Bellamy and Painted Post,Toronto E09,,,,https://youtu.be/yjD_Hh3maio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,Park,51-99,,,7.0,Municipal,1.0,Private,1.0,"LT 53,  PLAN 5276; S/T SC209008 SCARBOROUGH ,  CITY OF TORONTO",W,42.0,122.83,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-24 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7624418,-79.2345411
255,17500000,101 Old Colony Road,"['Foyer', 'Living', 'Dining', 'Kitchen', 'Breakfast', 'Family', 'Library', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', '5th Br']","['4.29 x 7.65', '5.51 x 6.09', '4.72 x 6.15', '5.39 x 6.46', '4.11 x 7.40', '6.43 x 6.55', '6.12 x 6.30', '6.49 x 6.55', '4.78 x 4.90', '4.51 x 5.82', '5.21 x 6.24', '5.09 x 5.21']","['Stone Floor, Heated Floor, Built-In Speakers', 'Fireplace, Crown Moulding, Heated Floor', 'Coffered Ceiling, Stone Floor, Panelled', 'Centre Island, Modern Kitchen, Crown Moulding', 'Window Flr to Ceil, Hardwood Floor, Crown Moulding', 'Hardwood Floor, Fireplace, Pocket Doors', 'Double Doors, Panelled, B/I Shelves', 'Ensuite Bath, W/I Closet, Fireplace', '4 Pc Ensuite, Coffered Ceiling, W/I Closet', 'W/I Closet, Fireplace, 5 Pc Ensuite', '4 Pc Ensuite, Coffered Ceiling, Hardwood Floor', 'W/I Closet, 4 Pc Ensuite, Hardwood Floor']",Sale,Detached,2-Storey,,Toronto,St. Andrew-Windfields,5.0,1.0,10.0,1.0,12.0,Y,,,,Central Air,Y,,,,Walk-Up,Y,Forced Air,Brick,Built-In,,,16.0,23.0,,,,,,,57679.34,2023.0,,,,,,,York Mills/Bayview Ave,Toronto C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,Inground,,,,,,Park,,,,7.0,Municipal,1.0,Circular,7.0,PT LT 2 PL 4226 NORTH YORK AS IN TB817264 CITY OF TORONTO,N,110.68,273.87,Feet,,,,,Stone,,,,,,,As Per Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7587588,-79.3750404
256,949900,9 O'connor Drive,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Bathroom', '3rd Br', 'Family', 'Bathroom', 'Laundry', 'Office', 'Other']","['4.00 x 3.98', '3.79 x 3.15', '2.94 x 3.15', '3.79 x 4.00', '2.95 x 3.51', '1.91 x 1.48', '3.17 x 2.91', '4.87 x 4.64', '3.35 x 2.89', '3.64 x 3.32', '2.74 x 2.65', '1.68 x 1.95']","['Hardwood Floor, Fireplace, Casement Windows', 'Hardwood Floor, Separate Rm, Casement Windows', 'Hardwood Floor, Stainless Steel Appl, Modern Kitchen', 'Hardwood Floor, Casement Windows', 'Hardwood Floor, W/O To Deck', 'Porcelain Floor, Casement Windows, 4 Pc Bath', 'Laminate, Casement Windows, French Doors', 'Laminate, Built-In Speakers, Electric Fireplace', '5 Pc Bath, Soaker, Whirlpool', 'Tile Floor, Casement Windows, Laundry Sink', 'Laminate, Casement Windows, Open Concept', 'Tile Floor, Closet, Closet Organizers']",Sale,Detached,Bungalow,,Toronto,Broadview North,2.0,1.0,2.0,1.0,5.0,N,,,,Central Air,N,,,,Sep Entrance,,Forced Air,Brick,Attached,,,2.0,3.0,,,,,,,4804.92,2024.0,,,,,,104010294.0,Broadview / O'connor,Toronto E03,,,,https://propertyvision.ca/tour/13019/?unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,Fenced Yard,51-99,,,2.0,Municipal,,Private,1.0,Pt Lt 14 Con 2 Ftb Twp Of York As In Tb645839,S,38.25,66.0,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-24 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6921358,-79.3551973
257,4480000,2B Carluke Crescent,"['Living', 'Dining', 'Kitchen', 'Breakfast', 'Family', 'Office', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', '5th Br', 'Rec']","['4.90 x 5.88', '4.90 x 5.15', '4.23 x 4.30', '2.82 x 4.33', '4.92 x 5.13', '4.23 x 4.85', '5.11 x 7.44', '4.98 x 5.41', '4.74 x 5.03', '3.98 x 4.39', '4.30 x 4.37', '8.40 x 17.80']","['Hardwood Floor, Gas Fireplace, Coffered Ceiling', 'Hardwood Floor, Formal Rm, Coffered Ceiling', 'Stainless Steel Appl, Granite Counter, Centre Island', 'Combined W/Kitchen, W/O To Deck, Marble Floor', 'Hardwood Floor, O/Looks Garden, Gas Fireplace', 'Panelled, B/I Bookcase, Leaded Glass', 'Gas Fireplace, W/I Closet, 6 Pc Ensuite', 'W/I Closet, Coffered Ceiling, 4 Pc Ensuite', 'Semi Ensuite, Double Closet, Hardwood Floor', 'Semi Ensuite, W/I Closet, Hardwood Floor', 'Hardwood Floor, Double Closet, Pot Lights', 'Wet Bar, W/O To Garden, Above Grade Window']",Sale,Detached,2-Storey,,Toronto,St. Andrew-Windfields,5.0,2.0,5.0,1.0,11.0,Y,,,,Central Air,Y,,,,Fin W/O,,Forced Air,Brick,Attached,,,6.0,9.0,,,,,,,21058.1,2024.0,,,,,,100981346.0,Bayview/Fifeshire/York Mills,Toronto C12,,,,https://www.winsold.com/tour/377676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,2.0,Municipal,,Private,3.0,PLAN 3456 PT LOT 48 PLAN M866 PT BLOCK N RP 66R23403 PARTS 1 AND 4,N,122.87,115.76,Feet,,,,,Stone,,,,,,,122.87 x 115.76 x 106.93 x 74.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-24 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7595844,-79.3906939
258,1289000,592 O'connor Drive,"['Kitchen', 'Living', 'Dining', '2nd Br', '3rd Br', 'Prim Bdrm', 'Solarium', '4th Br', '5th Br', 'Family', 'Laundry', 'Mudroom']","['3.35 x 3.05', '4.70 x 3.66', '3.35 x 2.77', '3.35 x 3.40', '2.77 x 4.34', '3.23 x 4.42', '6.17 x 2.74', '3.35 x 2.90', '3.15 x 2.74', '6.81 x 3.99', '3.23 x 2.54', '3.07 x 2.44']","['', '', '', '', '', '', '', '', '', '', '', '']",Sale,Detached,Bungalow,1100-1500,Toronto,East York,3.0,2.0,2.0,1.0,7.0,N,,,,Central Air,Y,,,,Sep Entrance,,Radiant,Brick,Attached,,,2.0,3.0,,,,,,,4964.11,2024.0,,,,,,103720501.0,Coxwell & O'connor,Toronto E03,,,,https://www.houssmax.ca/vtournb/h3520657,,,,,,,,,,,,,,,,,Garden Shed,,,,,,,,,,,,,,,Sewers,,,,,,,,Library,,,,6.0,Municipal,,Private,1.0,"LT 17 PL 3266 EAST YORK; TORONTO (E YORK) ,  CITY OF TORONTO",N,40.0,200.0,Feet,,,,,,,,,,,,irrecgular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-24 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6986528,-79.3264282
259,1288000,28 Relroy Court,"['Living', 'Dining', 'Kitchen', 'Family', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', '5th Br', 'Br', 'Rec']","['5.72 x 3.96', '3.35 x 4.80', '3.35 x 5.30', '4.06 x 4.60', '4.80 x 4.10', '-1.00 x 3.35', '1.00 x 2.90', '3.50 x 2.90', '3.88 x 7.90', '3.80 x 4.34', '3.88 x 3.28', '3.88 x 7.90']","['Parquet Floor, Bay Window, Large Window', 'Parquet Floor, Open Concept, Combined W/Living', 'Ceramic Floor, Granite Counter, Stainless Steel Appl', 'Parquet Floor, Fireplace, W/O To Yard', 'Parquet Floor, 4 Pc Ensuite, Double Closet', 'Parquet Floor, Large Window, Closet', 'Parquet Floor, Large Window, Closet', 'Parquet Floor, Large Window, Closet', ', Large Window, Closet', 'Laminate, Window, Pot Lights', 'Laminate, Window, Pot Lights', 'Laminate, Window, Pot Lights']",Sale,Detached,2-Storey,2000-2500,Toronto,Steeles,4.0,2.0,4.0,1.0,8.0,Y,,,,Central Air,Y,,,,Finished,,Forced Air,Alum Siding,Attached,,,2.0,4.0,,,,,,,6416.15,2024.0,,,,,,,Steeles/Pharmacy,Toronto E05,,,,https://www.tsstudio.ca/28-relroy-ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,3.0,Municipal,,Private,2.0,"PARCEL 239-1,  SECTION M1716 LOT 239,  PLAN 66M1716",N,50.0,102.0,Feet,,,,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8101469,-79.32910640000001
260,1695000,106 Willow Avenue,"['Dining', 'Living', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', 'Laundry']","['10.20 x 13.30', '10.80 x 13.20', '10.60 x 13.50', '9.10 x 11.40', '10.10 x 9.60', '10.90 x 7.80', '12.70 x 22.70']","['Hardwood Floor, Window, O/Looks Frontyard', 'Hardwood Floor, Window, Breakfast Bar', 'Vinyl Floor, Window, O/Looks Backyard', 'Hardwood Floor, Window, Closet', 'Hardwood Floor, Window, Ceiling Fan', 'Hardwood Floor, Window, O/Looks Backyard', 'Concrete Floor, Window']",Sale,Detached,2-Storey,,Toronto,The Beaches,3.0,,1.0,1.0,6.0,Y,,,,Window Unit,N,,,,Unfinished,,Forced Air,Vinyl Siding,,,,2.0,2.0,,,,,,,5500.0,2024.0,,,,,,,Queen Street East & Willow Ave,Toronto E02,,,,https://unbranded.youriguide.com/106_willow_ave_toronto_on/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,,Municipal,,Private,0.0,"PART OF LOTS 1,  2 AND 3 ON PLN 733 EAST TORONTO; PART OF 1 FT RESERVE ON PLN 1064 DESIGNATED AS PARTS 2 AND 3 ON PLN 66R24214; T/W EX86399 EXCEPT THE EASEMENT RE: EAVES THEREIN (SECONDLY DESCRIBED) SUBJECT TO AN EASEMENT OVER PART 2 ON PLN 66R24214 IN FAV",W,19.5,137.33,Feet,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7492115,-74.0311308
261,3338000,110 Mcallister Road,"['Living', 'Dining', 'Family', 'Kitchen', 'Breakfast', 'Office', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', '5th Br', 'Rec']","['4.88 x 7.07', '5.16 x 4.27', '5.31 x 6.17', '5.18 x 6.11', '2.13 x 5.18', '3.36 x 3.35', '5.89 x 6.15', '5.01 x 4.37', '4.88 x 4.85', '4.93 x 3.79', '4.19 x 4.93', '6.23 x 10.06']","['Pot Lights, Large Window, Hardwood Floor', 'Pot Lights, Built-In Speakers, Hardwood Floor', 'Fireplace, Pot Lights, Hardwood Floor', 'Granite Counter, Custom Backsplash, Centre Island', 'W/O To Balcony, O/Looks Backyard, Hardwood Floor', 'Large Window, Pot Lights, Hardwood Floor', '5 Pc Ensuite, Double Closet, W/O To Balcony', '3 Pc Ensuite, Large Window, Hardwood Floor', '4 Pc Bath, Large Closet, Large Window', '4 Pc Bath, Large Closet, Large Window', '3 Pc Bath, Heated Floor, Large Window', 'Walk-Out, Pot Lights, O/Looks Backyard']",Sale,Detached,2-Storey,3500-5000,Toronto,Clanton Park,4.0,1.0,5.0,1.0,13.0,Y,,,,Central Air,Y,,,,W/O,,Forced Air,Stone,Attached,,,4.0,6.0,,,,,,,15214.19,2024.0,,,,,,102120099.0,Sheppard Ave W / Bathurst,Toronto C06,,,,https://tour.uniquevtour.com/vtour/110-mcallister-rd-north-york,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,< .50,,,,Grnbelt/Conserv,,,,4.0,Municipal,,Pvt Double,2.0,"PT LT 82 PL 1938 TWP OF YORK AS IN NY105329; TORONTO (N YORK) ,  CITY OF TORONTO",N,44.0,161.0,Feet,,,,,Stucco/Plaster,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7520071,-79.4458719
262,979000,36 Tealham Drive,"['Living', 'Dining', 'Kitchen', 'Sunroom', 'Prim Bdrm', '2nd Br', '3rd Br', 'Rec']","['4.57 x 5.03', '2.72 x 2.84', '3.20 x 3.91', '2.87 x 4.57', '3.00 x 3.71', '2.69 x 2.72', '2.69 x 3.68', '3.68 x 4.62']","['', '', '', '', '', '', '', '']",Sale,Detached,Backsplit 3,,Toronto,West Humber-Clairville,3.0,,2.0,1.0,5.0,Y,,,,Central Air,N,,,,Finished,,Forced Air,Brick,,,,2.0,2.0,,,,,,,2801.0,2024.0,,,,,,73100020.0,Martin Grove/Albion Rd,Toronto W10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,1.0,Municipal,,Available,0.0,"PLAN 6919 LOT 86,  City of Toronto and W10 Region",N,45.0,122.0,Feet,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.74538099999999,-79.59853849999999
264,1499800,83 Corinthian Boulevard,"['Foyer', 'Living', 'Dining', 'Family', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', 'Br', 'Laundry']","['2.09 x 3.08', '3.57 x 5.55', '3.06 x 3.61', '3.19 x 5.16', '3.63 x 3.65', '3.46 x 5.70', '3.51 x 4.00', '2.86 x 3.96', '3.14 x 3.63', '5.77 x 9.12', '3.52 x 4.51', '2.34 x 3.43']","['Ceramic Floor', 'Hardwood Floor, Casement Windows', 'Hardwood Floor, Casement Windows', 'Hardwood Floor, W/O To Deck, Fireplace', 'Ceramic Floor, Eat-In Kitchen, Stainless Steel Appl', 'Hardwood Floor, 2 Pc Ensuite, Casement Windows', 'Hardwood Floor, Casement Windows, Double Closet', 'Hardwood Floor, Window, Closet', 'Hardwood Floor, Window, Closet', 'Laminate, Above Grade Window, Fireplace', 'Laminate, 3 Pc Ensuite, Above Grade Window', 'Laminate']",Sale,Detached,2-Storey,,Toronto,L'Amoreaux,4.0,1.0,4.0,1.0,8.0,Y,,,,Central Air,Y,,,,Full,,Forced Air,Alum Siding,Attached,,,4.0,6.0,,,,,,,6230.0,2024.0,,,,,,,Victoria Park / Finch,Toronto E05,,,,https://winsold.com/matterport/embed/377631/ztDZb3ZoHVZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,1.0,Municipal,,Pvt Double,2.0,"LOT 48,  PLAN 66M1207",E,62.06,120.13,Feet,,,,,Brick,N,,,,,,38.08 x 120.13 x 62.02 x 120.13 feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.79127,-79.3291781
266,1100000,176 Lake Shore Drive,"['Living', 'Dining', 'Kitchen', 'Foyer', 'Prim Bdrm', '2nd Br', 'Rec', '3rd Br', 'Laundry', 'Furnace', 'Foyer']","['3.43 x 7.56', '3.43 x 7.56', '2.66 x 3.50', '1.02 x 1.53', '3.42 x 3.92', '2.65 x 2.90', '7.94 x 5.90', '5.93 x 2.17', '2.55 x 5.69', '4.21 x 1.50', '2.55 x 5.69']","['Combined W/Dining, Broadloom, Window', 'Combined W/Living, Broadloom, Window', 'Vinyl Floor, Eat-In Kitchen, Window', 'Laminate, Window, Closet', 'Laminate, Window, Closet', 'Laminate, Window, Closet', 'Broadloom, Fireplace, Wet Bar', 'Broadloom, Window, Closet', 'Broadloom', 'Linoleum', 'Broadloom, Window, Closet']",Sale,Detached,Bungalow,,Toronto,New Toronto,2.0,1.0,2.0,1.0,6.0,N,,,,Window Unit,Y,,,,Finished,,Radiant,Brick,Detached,,,1.0,2.0,,,,,,,4264.16,2023.0,,,,,,76100059.0,Kipling Ave And Lakeshore Drive,Toronto W06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,Library,,,,5.0,Municipal,0.0,Private,1.0,"PT LT 17,  PL 2242 ,  AS IN TB153707 ; ETOBICOKE ,  CITY OF TORONTO",N,27.5,110.0,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8786971,-87.6174412
267,1149900,15 Lighthall Crescent,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', 'Living', 'Kitchen', 'Br', 'Br', 'Den']","['3.78 x 4.85', '2.86 x 3.47', '2.64 x 3.25', '3.15 x 4.08', '3.15 x 3.33', '2.56 x 2.96', '3.81 x 3.96', '2.75 x 3.00', '3.86 x 4.34', '2.74 x 3.96', '2.94 x 3.78']","['Laminate, Combined W/Dining, Electric Fireplace', 'Laminate, Pot Lights', 'Ceramic Floor, Stainless Steel Appl, Window', 'Laminate, Closet, Led Lighting', 'Laminate, Closet, Window', 'Laminate, Closet, Window', 'Broadloom, Closet, Window', 'Heated Floor', 'Broadloom, Closet, Window', 'Broadloom, Closet, Window', '']",Sale,Detached,Bungalow,,Toronto,Malvern,3.0,3.0,3.0,1.0,6.0,N,,,,Central Air,Y,,,,Sep Entrance,N,Forced Air,Brick Front,Carport,,,3.0,5.0,,,,,,,3672.0,2024.0,,,,,,,Finch/Markham/Tapscott,Toronto E11,,,,https://westbluemedia.com/1124/15lighthall_.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,31-50,,,5.0,Municipal,1.0,Private,2.0,"PARCEL 26-1,  SECTION M1668 LOT 26",S,60.0,118.0,Feet,Residential,N,,,Vinyl Siding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-24 00:00:00.0,2:00 PM,4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8108258,-79.2340725
