School Name_x,"EQAO_Total # of
Students","EQAO_# of
Participating
Students","EQAO_# of
Students at
Levels 3/4","EQAO_% at Levels
3/4","OSSLT_Number of
Previously
Eligible
Students","OSSLT_Absent
(All
Previously
Eligible
Students)","OSSLT_Deferred
(All
Previously
Eligible
Students)","OSSLT_Successful
(Fully
Participating)","OSSLT_Not
Successful
(Fully
Participating)",Partial Name_x,School Name_y,Score,Rank,Partial Name_y
Georges Vanier Secondary School,63,51,19,37%,246,246,246,246,246,georges vanier,georges vanier,5.6,443/689,
Greenwood Secondary School,30,29,10,34%,,,,,,,,,,
Harbord Collegiate Institute,100,87,55,63%,259,259,259,259,259,harbord,harbord,8.3,41/689,
Heydon Park Secondary School,N/R,N/R,N/R,N/R,,,,,,,,,,
Humberside Collegiate Institute,141,136,94,69%,396,396,396,396,396,humberside,humberside,8.5,26/689,
Jarvis Collegiate Institute,41,39,14,36%,130,130,130,130,130,jarvis,jarvis,5.1,505/689,
John Polanyi Collegiate Institute,57,43,14,33%,125,125,125,125,125,john polanyi,john polanyi,5.5,459/689,
Kipling Collegiate Institute,82,69,15,22%,171,171,171,171,171,kipling,kipling,1.8,671/689,
Lakeshore Collegiate Institute,40,35,18,51%,154,154,154,154,154,lakeshore,lakeshore,4.9,526/689,
L'Amoreaux Collegiate Institute,37,36,12,33%,124,124,124,124,124,l'amoreaux,l'amoreaux,4.8,531/689,
Lawrence Park Collegiate Institute,143,133,98,74%,313,313,313,313,313,lawrence park,lawrence park,8.7,19/689,
Leaside High School,151,143,101,71%,270,270,270,270,270,leaside,leaside,8.8,15/689,
Lester B Pearson Collegiate Institute,117,108,41,38%,294,294,294,294,294,lester b pearson,lester b pearson,6.1,357/689,
Malvern Collegiate Institute,152,147,109,74%,272,272,272,272,272,malvern,malvern,8.6,22/689,
Marc Garneau Collegiate Institute,221,191,71,37%,458,458,458,458,458,marc garneau,marc garneau,4.8,531/689,
Martingrove Collegiate Institute,116,115,58,50%,237,237,237,237,237,martingrove,martingrove,7,210/689,
Monarch Park Collegiate Institute,136,131,83,63%,215,215,215,215,215,monarch park,monarch park,7.7,102/689,
Native Learning Centre East,N/R,N/R,N/R,N/R,,,,,,,,,,
Newtonbrook Secondary School,86,69,30,43%,196,196,196,196,196,newtonbrook,newtonbrook,3.4,628/689,
North Albion Collegiate Institute,75,68,10,15%,199,199,199,199,199,north albion,north albion,4.6,552/689,
North Toronto Collegiate Institute,36,18,11,61%,357,357,357,357,357,north toronto,north toronto,9.1,7/689,
Northern Secondary School,257,236,158,67%,451,451,451,451,451,northern,northern,7.7,102/689,
Parkdale Collegiate Institute,98,90,53,59%,163,163,163,163,163,parkdale,parkdale,7,210/689,
R H King Academy,148,140,88,63%,303,303,303,303,303,r h king,r h king,7.4,154/689,
Richview Collegiate Institute,118,116,61,53%,319,319,319,319,319,richview,richview,7.5,138/689,
Riverdale Collegiate Institute,357,339,209,62%,387,387,387,387,387,riverdale,riverdale,8.2,52/689,
Rosedale Heights School of the Arts,117,114,67,59%,244,244,244,244,244,rosedale heights-arts,rosedale heights-arts,8.3,41/689,
Runnymede Collegiate Institute,98,91,27,30%,121,121,121,121,121,runnymede,runnymede,5.2,496/689,
SATEC @ WA Porter Collegiate Institute,189,179,107,60%,328,328,328,328,328,w a porter,w a porter,7.5,138/689,
Silverthorn Collegiate Institute,83,81,41,51%,215,215,215,215,215,silverthorn,silverthorn,6,378/689,
Sir Oliver Mowat Collegiate Institute,99,97,36,37%,253,253,253,253,253,sir oliver mowat,sir oliver mowat,6.9,227/689,
Sir Wilfrid Laurier Collegiate Institute,143,134,68,51%,365,365,365,365,365,sir wilfrid laurier,sir wilfrid laurier,6.1,357/689,
Stephen Leacock Collegiate Institute,43,40,14,35%,131,131,131,131,131,stephen leacock,stephen leacock,4.7,540/689,
Thistletown Collegiate Institute,64,50,3,6%,120,120,120,120,120,thistletown,thistletown,3.9,606/689,
Ursula Franklin Academy,48,46,40,87%,111,111,111,111,111,ursula franklin,ursula franklin,9.3,3/689,
Victoria Park Collegiate Institute,137,126,85,67%,302,302,302,302,302,victoria park,victoria park,6.1,357/689,
West Hill Collegiate Institute,92,83,22,27%,230,230,230,230,230,west hill,west hill,4.7,540/689,
West Humber Collegiate Institute,95,85,34,40%,256,256,256,256,256,west humber,west humber,5.7,425/689,
Western Technical-Commercial School,123,111,61,55%,252,252,252,252,252,western,western,6.8,246/689,
Weston Collegiate Institute,93,83,23,28%,291,291,291,291,291,weston,weston,4.5,562/689,
Westview Centennial Secondary School,78,61,7,11%,160,160,160,160,160,westview centennial,westview centennial,1.4,678/689,
Wexford Collegiate School for the Arts,118,107,45,42%,257,257,257,257,257,wexford collegiate-arts,wexford collegiate-arts,6.6,273/689,
Winston Churchill Collegiate Institute,64,54,11,20%,173,173,173,173,173,winston churchill,winston churchill,3.4,628/689,
Woburn Collegiate Institute,92,83,49,59%,247,247,247,247,247,woburn,woburn,6.9,227/689,
York Memorial Collegiate Institute,67,63,21,33%,210,210,210,210,210,york memorial,york memorial,6.7,260/689,
York Mills Collegiate Institute,174,159,113,71%,258,258,258,258,258,york mills,york mills,8.3,41/689,
