price,address,mls,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Air Conditioning,Fireplace,Pets,Stories,Basement,Heating,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Parking Space,Lockers,Maintenance,Taxes,Tax Year,Building Insurance Included,Cable Included,Common Elements Included,Heating Included,Parking Included,Water Included,Amenity,Feature,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Bedrooms Plus,Ensuite Laundry,Laundry,Parking Description,Locker Level,Locker Number,Parcel Number,Virtual Tour,Age,Exterior Features,Central A/C Included,Parking Charges,Rooms Plus,Water supply,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Pool,Sewer,Energy Certificate,Green PIS,Elevator,Kitchens Plus,Electricity,Gas,Cable,Telephone,Retirement,UFFI,Locker Quantity,Lot Irregularities,Handicap Equipped,Assesment Year,Hydro Included,Zoning,Assessment,Structure
"$698,000",409 - 160 Canon Jackson Drive,MLS® W11228227,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Laundry']","['3.62 x 5.97', '3.62 x 5.97', '2.40 x 3.96', '3.07 x 3.04', '2.77 x 3.04', 'N/A']","['Combined W/Dining, Laminate, Balcony', 'Combined W/Dining, Laminate, Balcony', 'Stainless Steel Appl, Quartz Counter, Centre Island', '4 Pc Ensuite, B/I Closet, Laminate', 'Large Window, Laminate, B/I Closet', 'Ceramic Floor']",Sale,Condo Apt,Apartment,800-899,Toronto,Beechborough-Greenbrook,2,2,1,3,N,Open,N,Central Air,N,Restrict,4,None,Forced Air,Brick,None,Owned,Undergrnd,1,1.0,,None,478.80,2479.94,2024,,,Y,,Y,Y,,,Keele St & Eglington Ave W,Toronto W04,TSCC,2949,GPM Property Management Inc.,,Y,Ensuite,,,,,https://unbranded.mediatours.ca/property/409-160-canon-jackson-drive-york/,0-5,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$424,786",703 - 320 Dixon Road,MLS® W11227022,"['Prim Bdrm', '2nd Br', 'Dining', 'Kitchen', 'Laundry', 'Living']","['3.27 x 4.12', '3.25 x 3.23', '3.30 x 3.27', '2.20 x 3.99', '1.55 x 2.50', '3.49 x 5.73']","['', '', '', '', '', '']",Sale,Condo Apt,Apartment,900-999,Toronto,Kingsview Village-The Westway,2,1,1,5,N,Open,Se,None,N,N,7,None,Baseboard,Brick Front,None,Owned,Undergrnd,0,1.0,,None,671.62,539.68,2023,Y,,Y,Y,Y,Y,,School,Kipling & Dixon,Toronto W09,YCC,42,Gpm Property Management,,,,,,,110420244,,,,,,,,,,,,,,,,,,,Y,,,,,,N,,,,,,,,,
"$699,990",2304 - 20 Tubman Avenue,MLS® C11228237,"['Living', 'Kitchen', 'Prim Bdrm', '2nd Br']","['2.87 x 4.24', '2.87 x 4.24', '3.14 x 2.80', '2.92 x 2.56']","['Laminate, Large Window, Combined W/Kitchen', 'Laminate, Stainless Steel Appl, Centre Island', 'Laminate, Double Closet, 3 Pc Ensuite', 'Laminate, Double Closet, Large Window']",Sale,Condo Apt,Apartment,700-799,Toronto,Regent Park,2,2,1,5,Y,Open,Ne,Central Air,N,N,23,None,Forced Air,Brick,Underground,Owned,None,0,1.0,158,Owned,654.08,2889.77,2024,Y,,Y,Y,Y,Y,Visitor Parking,Park,Dundas St. & Tubman Ave.,Toronto C08,TSCC,2746,City Sites Property Management Inc,,Y,Ensuite,P2,2,,,https://unbranded.mediatours.ca/property/2304-20-tubman-avenue-toronto/,0-5,Concrete,,,,,,,,,,,,,,N,N,Y,,,,,,N,No,121,,,,,,,
"$565,000",1105 - 99 Foxbar Road,MLS® C11228233,"['Br', 'Living', 'Kitchen']","['3.00 x 2.90', '3.60 x 5.05', '3.60 x 5.05']","['Laminate, Sliding Doors, Double Closet', 'Laminate, W/O To Balcony, Combined W/Kitchen', 'Laminate, B/I Appliances, Combined W/Living']",Sale,Condo Apt,Apartment,0-499,Toronto,Yonge-St. Clair,1,1,1,4,N,Open,N,Central Air,N,Restrict,11,None,Forced Air,Concrete,Underground,None,None,0,0.0,,Owned,457.34,2174.48,2024,Y,,Y,,,,Visitor Parking,Park,Avenue/St.Clair,Toronto C02,TSCC,2928,FOREST HILL KIPLING RESIDENTIAL MGMT 416-519-2927,,,,,E,,769280103,,0-5,Metal/Side,Y,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,
"$514,000",326 - 38 Monte Kwinter Court,MLS® C11226486,"['Living', 'Dining', 'Kitchen', 'Breakfast', 'Prim Bdrm', '2nd Br']","['3.96 x 5.48', '3.96 x 5.48', '3.96 x 5.48', '3.96 x 5.48', '2.43 x 3.65', '2.13 x 2.13']","['Laminate, Combined W/Dining, W/O To Balcony', 'Laminate, Combined W/Living, W/O To Balcony', 'Laminate, Stainless Steel Appl, Backsplash', 'Laminate, Breakfast Bar, Centre Island', 'Laminate, Large Window, Closet', 'Laminate, Window, Closet']",Sale,Condo Apt,Apartment,500-599,Toronto,Clanton Park,2,1,1,5,N,Open,E,Central Air,N,Restrict,3,None,Forced Air,Brick,Underground,Owned,Undergrnd,1,1.0,97,Owned,491.00,1924.00,2024,Y,,Y,,Y,,Party/Meeting Room,Library,Wilson Ave & Allen Rd,Toronto C06,TSCC,2814,Wilson Blanchard Management - 416-551-3360,,Y,Ensuite,P1,P2,7,768140046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$950,000",776 Danforth Road,MLS® E11225959,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', '5th Br']","['3.74 x 4.83', '2.66 x 4.10', '320.0 x 3.94', '3.71 x 4.00', '2.69 x 4.10', '3.00 x 3.00', '3.48 x 3.74', '3.41 x 3.56']","['Hardwood Floor, Crown Moulding, Picture Window', 'Hardwood Floor, Open Concept, W/O To Yard', 'Ceramic Floor, Quartz Counter, Renovated', 'Hardwood Floor, Picture Window, Closet', 'Hardwood Floor, Closet', 'Hardwood Floor, Closet', 'Laminate, Large Window, Closet', 'Laminate, Window']",Sale,Detached,2-Storey,,Toronto,Kennedy Park,3,2,1,6,N,,,Central Air,N,,,Sep Entrance,Forced Air,Brick,None,,,4,4.0,,,,3562.13,2024,,,,,,,,,St. Clair/Midland,Toronto E04,,,,2,,,,,,,,,,,,2,Municipal,Private,0.0,"Plan 1093 Pt Lot 17,  Pt Blk H",N,34.26,99.28,Feet,None,Sewers,N,N,,,,,,,,,,Lot Irregular,,,,,,
"$750,000",511 - 1100 Sheppard Avenue W,MLS® W11225560,[],[],[],Sale,Condo Apt,Multi-Level,600-699,Toronto,York University Heights,1,1,1,5,Y,Open,W,Central Air,N,Restrict,05,None,Forced Air,Concrete,Underground,Owned,Undergrnd,1,1.0,,None,401.00,0.00,2024,Y,,,Y,Y,Y,Visitor Parking,,Sheppard Ave W & Allen Rd,Toronto W05,TSCC,3055,360 Management Company,1,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,,,,,
"$599,000",2408 - 125 Village Green Square,MLS® E11225903,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', 'Br', 'Bathroom']","['3.00 x 3.35', '3.00 x 3.35', '3.36 x 4.30', '2.82 x 3.50', '1.55 x 2.45', '1.51 x 2.45']","['W/O To Porch, West View, Hardwood Floor', 'Combined W/Kitchen, Hardwood Floor', 'Combined W/Dining, Ceramic Back Splash, Granite Counter', '3 Pc Ensuite, Above Grade Window, Closet', '3 Pc Bath, Porcelain Sink, Porcelain Floor', '4 Pc Bath']",Sale,Condo Apt,Apartment,700-799,Toronto,Agincourt South-Malvern West,2,2,2,7,N,Open,Sw,Central Air,N,Restrict,24,None,Forced Air,Concrete,Underground,Owned,Undergrnd,1,1.0,56,Owned,515.89,2290.00,2024,Y,,Y,,Y,,Rooftop Deck/Garden,Public Transit,Kennedy/Highway 401,Toronto E07,TSCC/2,2166,Del Property Management,,,,3,P3,87,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,2024,,,,
"$650,000",PH3602 - 70 Town Centre Court,MLS® E11225034,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br']","['5.52 x 5.73', '5.52 x 5.73', '2.62 x 3.75', '3.23 x 7.07', '2.89 x 3.69']","['Combined W/Dining, Window Flr to Ceil, W/O To Balcony', 'Hardwood Floor, Window Flr to Ceil, W/O To Balcony', 'Stainless Steel Appl, Window Flr to Ceil, Stone Counter', '4 Pc Ensuite, His/Hers Closets, Window Flr to Ceil', 'Large Closet, Window Flr to Ceil, East View']",Sale,Condo Apt,Apartment,1000-1199,Toronto,Bendale,2,2,1,5,N,Open,Se,Central Air,N,Restrict,35,None,Forced Air,Concrete,Underground,Owned,Undergrnd,2,2.0,19,Owned,908.96,3333.25,2024,,,,,,Y,Party/Meeting Room,Hospital,401/Mccowan,Toronto E09,TSCC,2036,Living Properties Inc,,Y,Ensuite,P1,P1,1,,https://media.maddoxmedia.ca/videos/01936d3c-1a38-72d3-8abb-57011d217195,11-15,,,,,,,,,,,,,,,,,Y,,,,,,,,3,,Y,,,,,
"$399,900",106 - 60 Pavane Linkway Way,MLS® C11224506,[],[],[],Sale,Condo Apt,Apartment,800-899,Toronto,Flemingdon Park,2,1,1,5,N,Open,S,Window Unit,N,Restrict,3,None,Forced Air,Brick,None,Exclusive,Undergrnd,1,1.0,P3-6,Owned,862.72,1359.05,2024,Y,Y,Y,Y,Y,Y,,,Don Mills & Eglinton,Toronto C11,YCC,78,ACE CONDOMINIUM MANAGEMENT INC 416-429-4235,,,None,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,Y,,,
"$2,879,000",11 Ottawa Street,MLS® C11223657,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', 'Den']","['3.07 x 4.34', '3.61 x 4.04', '3.43 x 4.95', '2.84 x 3.43', '3.81 x 4.67', '2.84 x 3.43', '2.64 x 2.77', '4.14 x 6.10', '3.02 x 3.25']","['Hardwood Floor, Large Window, Stained Glass', 'Hardwood Floor, Open Concept, Window', 'B/I Appliances, Centre Island, French Doors', '3 Pc Ensuite, Balcony, Pocket Doors', '3 Pc Ensuite, Hardwood Floor', 'Hardwood Floor, O/Looks Backyard, Large Window', 'B/I Closet, Hardwood Floor', 'Heated Floor', 'Heated Floor']",Sale,Semi-Detached,3-Storey,,Toronto,Rosedale-Moore Park,4,4,1,9,Y,,,Central Air,N,,,Finished,Forced Air,Alum Siding,None,,,0,0.0,,,,9556.26,2024,,,,,,,,,Summerhill & Yonge,Toronto C09,,,,1,,,,,,,,,Brick,,,,Municipal,None,0.0,PT LT 11-12 PL 813 CITY EAST AS IN CA296095; CITY OF TORONTO,E,18.03,83.86,Feet,None,Sewers,,,,,,,,,,,,,,,,,,
"$1,524,900",242 Castlefield Avenue,MLS® C11221058,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', 'Rec', 'Laundry']","['3.82 x 4.42', '3.21 x 4.09', '2.66 x 4.09', '3.82 x 4.25', '2.00 x 3.71', '2.51 x 2.83', '3.36 x 5.54', '1.98 x 2.11']","['Hardwood Floor, Leaded Glass, Fireplace', 'Hardwood Floor, Wood Trim, French Doors', 'W/O To Deck, Eat-In Kitchen, Galley Kitchen', 'B/I Shelves, Mirrored Closet, Broadloom', 'Broadloom, Closet, Picture Window', 'Broadloom, B/I Desk, B/I Bookcase', 'B/I Closet, Broadloom, Pot Lights', 'Tile Floor, Above Grade Window, Laundry Sink']",Sale,Semi-Detached,2-Storey,,Toronto,Yonge-Eglinton,3,2,1,6,N,,,Wall Unit,Y,,,Finished,Water,Brick,None,,,1,1.0,,,,6576.12,2024,,,,,,,,Place Of Worship,Avenue Rd/Eglinton,Toronto C03,,,,,,,,,,,,,,,,2,Municipal,Front Yard,0.0,PT LT 28 RANGE 4 PL 734 NORTH TORONTO AS IN CA441024; T/W CA441024; CITY OF TORONTO,N,22.58,122.33,Feet,None,Sewers,,,N,,,,,,N,No,,,,,,,,
"$756,000",3104 - 395 Bloor Street E,MLS® C11219556,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br']","['3.66 x 7.16', '3.66 x 7.16', '3.66 x 7.16', '2.97 x 3.05', '2.60 x 2.90']","['W/O To Balcony, Open Concept, Combined W/Dining', 'South View, Open Concept, Combined W/Living', 'Galley Kitchen, Open Concept', '3 Pc Ensuite', '']",Sale,Condo Apt,Apartment,700-799,Toronto,North St. James Town,2,2,1,6,N,Open,Sw,Central Air,N,Restrict,31,None,Forced Air,Concrete,None,None,Facilities,0,0.0,,None,655.34,3769.36,2024,Y,,Y,,,,,,Bloor/Sherbourne,Toronto C08,TSCC,2977,Melbourne PM,,Y,Ensuite,,,,,https://www.winsold.com/tour/379266,New,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,949,800",159 Brunswick Avenue,MLS® C11215742,"['Living', 'Dining', 'Kitchen', 'Breakfast', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', 'Rec']","['5.53 x 5.79', '3.83 x 5.53', '2.87 x 6.14', '2.20 x 2.87', '4.11 x 6.14', '3.32 x 3.37', '2.56 x 3.37', '3.55 x 4.90', '4.36 x 6.42', '3.32 x 3.45']","['Hardwood Floor, Fireplace, Large Window', 'Hardwood Floor, Combined W/Living, Pot Lights', 'B/I Appliances, Pot Lights, W/O To Deck', 'Combined W/Kitchen, Pot Lights, W/O To Deck', '4 Pc Ensuite, W/I Closet, W/O To Balcony', 'Hardwood Floor, Pot Lights', '3 Pc Ensuite, Hardwood Floor, Bay Window', '4 Pc Ensuite, B/I Closet, Hardwood Floor', 'Laminate, Pot Lights, Sauna', '']",Sale,Att/Row/Twnhouse,2-Storey,,Toronto,University,4,5,1,8,Y,,,Central Air,Y,,,Finished,Forced Air,Brick,Detached,,,2,2.0,,,,8962.57,2024,,,,,,,,,Harbord & Brunswick,Toronto C01,,,,,,,,,,,,,Stucco/Plaster,,,,Municipal,Lane,2.0,Plan 1180 Ptlt 3&4,E,19.00,122.50,Feet,None,Sewers,N,N,,,,,,,,,,,,,,Res,,
"$1,588,000",413 - 201 Carlaw Avenue,MLS® E11215735,"['Foyer', 'Living', 'Dining', 'Kitchen', '2nd Br', 'Foyer', 'Locker', '3rd Br', 'Prim Bdrm', 'Other']","['2.44 x 1.99', '3.27 x 4.39', '3.27 x 4.39', '3.22 x 4.40', '3.77 x 2.59', '1.44 x 1.88', '3.44 x 1.90', '3.75 x 2.59', '4.85 x 4.40', '9.28 x 9.67']","['Hardwood Floor, 2 Pc Bath, West View', 'Hardwood Floor, Overlook Patio, West View', 'Hardwood Floor, Combined W/Dining, Combined W/Kitchen', 'Hardwood Floor, Stainless Steel Appl, Eat-In Kitchen', 'Hardwood Floor, Closet, West View', 'Hardwood Floor, Sliding Doors, W/O To Terrace', 'Concrete Floor', 'Hardwood Floor, 4 Pc Ensuite, Closet', 'Hardwood Floor, 3 Pc Ensuite, Double Closet', 'Concrete Floor, West View']",Sale,Condo Apt,2-Storey,1200-1399,Toronto,South Riverdale,3,3,1,9,N,Terr,W,Central Air,N,Restrict,04,None,Forced Air,Brick,Underground,Owned,Private,0,1.0,P278,Owned,941.63,5135.78,2024,Y,,Y,,Y,Y,Visitor Parking,Park,Queen St E and Carlaw,Toronto E01,TSCC,2073,"360 Community Management Ltd. Adrian Sebu,  PM (647) 340-4291",,Y,Ensuite,Level B Unit 38,B,76,130730187,https://tours.bhtours.ca/413-201-carlaw-avenue/nb/,11-15,,Y,,,,,,,,,,,,,,,Y,,,,,,,No,P238,,,,,,,
"$1,080,000",3411 - 1 Yorkville Avenue,MLS® C11215734,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br']","['3.23 x 2.80', '3.18 x 1.89', '2.21 x 2.80', '3.77 x 2.70', '2.58 x 2.43']","['Wood Floor, Window', 'Wood Floor, W/O To Balcony', 'Wood Floor, Centre Island, Backsplash', 'Wood Floor, Ensuite Bath, Closet', 'Wood Floor, Closet, Window']",Sale,Condo Apt,Apartment,700-799,Toronto,Annex,2,2,1,5,N,Open,Se,Central Air,N,Restrict,34,None,Forced Air,Concrete,Underground,Owned,None,0,1.0,,Owned,622.88,5057.09,2023,Y,,Y,,Y,,,,Yorkville & Yonge,Toronto C02,TSCP,2842,First Service Residential,,Y,Ensuite,,,,,https://sites.genesisvue.com/1yorkvilleaveunit3411/?mls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
